prov_name,dist_name_421,notes,alt_dist_names_421,prov_id_421_CSO_char,dist_id_421_CSO_char,prov_name_Farsi_421_CSO,dist_name_farsi_421_CSO,prov_name_Pashto_421_CSO,dist_name_Pashto_421_CSO,Popl_18-19_421_CSO_6-18,Popl_18-19_419_CSO_6-18,Popl_18-19_407_CSO_6-18,Popl_18_19_399_CSO_6-18,dist_name_414_CSO_OCHA_8-16,Popl_16-17_414_CSO-OCHA_8-16,Popl_16-17_407_CSO-OCHA_8-16,Popl_16-17_399_CSO_OCHA_8-16,prov_name_407_USFOR,dist_name_407_USFOR,Popl_Jan18_USFOR_407_USFOR,Popl_1_31_18_USFOR_399_AGCHO,Popl_est_2017_iMMAP_399_AGCHO
Province name.,District names in CSO's 6/18 list of 421 districts(1)  Generally follows CSO transliterations of 8/16.,Notes,District alternate names from various sources,Prov ID from CSO 421 dist. list of 6/18. (1),District id from CSO 421 district list of 6/18 in numbers (1),Prov. name in Farsi [these need checking],Dist. name in Farsi [these need checking],Prov. name in Pashto [these need checking],District name in Pashto [these need checking],CSO popl est for '18-'19 using original 421 districts.,CSO popl estimates '18-'19 regrouped to 419 districts.,CSO popl estimates '18-'19 regrouped to 407 districts.,CSO popl estimates '18-'19 regrouped to 399 districts.,District name per CSO list of 414 of 8/16 posted by OCHA,CSO popl est for '16-'17 using original 414 districts,CSO popl estimates '16-'17 regrouped to 407 districts.,CSO popl estimates '16-'17 regrouped to 399 districts.,Province name per Landscan (2),Dist name per Landscan (2),"Popl est., Landscan using USFOR-A 407 district set. (2)","Popl est, Landscan regrouped to 399 districts"," iMMAP's 2017 population estimates (5).  (They already follow the 399 district set, natively.)"
BADAKHSHAN,Arghanj Khwah,,,17,1703,بدخشان,ارغنجخواه,بدخشان,د ارغنجخواه ولسوالي,17578,17578,17578,17578,Arghanj Khwah,16710,16710,16710,BADAKHSHAN,Arghanj Khwah,20000,20000,16900
BADAKHSHAN,Argo,,,17,1702,بدخشان,ارگو,بدخشان,د ارگو ,85586,85586,85586,85586,Argo,81355,81355,81355,BADAKHSHAN,Argo,108000,108000,164000
BADAKHSHAN,Baharak,,,17,1706,بدخشان,بهارک,بدخشان,د بهارک ,31438,31438,31438,31438,Baharak,29883,29883,29883,BADAKHSHAN,Baharak,36000,36000,56700
BADAKHSHAN,Darayim,,,17,1707,بدخشان,درایم,بدخشان,د درايم ,67237,67237,67237,67237,Darayim,63913,63913,63913,BADAKHSHAN,Darayim,74000,74000,59700
BADAKHSHAN,Darwaz-e-Bala,,Mamai,17,1727,بدخشان,دروازبالا,بدخشان,د دروازبالا,25278,25278,25278,25278,Darwaz-e- Bala ( Nesay) [s/b Mamay],24028,24028,24028,BADAKHSHAN,Darwaz-e-Bala,33000,33000,37500
BADAKHSHAN,Darwaz-e-Payin,,Nesay,17,1722,بدخشان,درواز پائین,بدخشان,د درواز پائين ,28869,28869,28869,28869,Darwaz-e- Payin (Mamay) [s/b Nesay],27444,27444,27444,BADAKHSHAN,Darwas-e Pa'in,27000,27000,21800
BADAKHSHAN,Eshkashim,,,17,1723,بدخشان,اشکاشم,بدخشان,د اشکاشم ,15141,15141,15141,15141,Eshkashim,14392,14392,14392,BADAKHSHAN,Ishkashim,17000,17000,14200
BADAKHSHAN,Faiz Abad,,,17,1701,بدخشان,فیض آباد,بدخشان,فیض آباد,74031,74031,74031,74031,Badakhshan center (Faiz Abad),70004,70004,70004,BADAKHSHAN,Faizabad,72000,72000,78200
BADAKHSHAN,Jurm,,,17,1710,بدخشان,جرم,بدخشان,د جرم ,41159,41159,41159,41159,Jurm,39083,39083,39083,BADAKHSHAN,Jurm,46000,46000,76700
BADAKHSHAN,Khash,,,17,1705,بدخشان,خاش,بدخشان,د خاش ,41575,41575,41575,41575,Khash,39518,39518,39518,BADAKHSHAN,Khash,45000,45000,21500
BADAKHSHAN,Khwahan,,,17,1720,بدخشان,خواهان,بدخشان,د خواهان ,18093,18093,18093,18093,Khwahan,17198,17198,17198,BADAKHSHAN,Khwahan,21000,21000,24500
BADAKHSHAN,Kiran Wa Menjan,,,17,1726,بدخشان,کرا ن ومنجان,بدخشان,د کرا ن و منجان ,10394,10394,10394,10394,Kiran Wa Menjan,9880,9880,9880,BADAKHSHAN,Kiran Wa Munjan,12000,12000,14700
BADAKHSHAN,Kishim,,,17,1715,بدخشان,کشم,بدخشان,د کشم ,88281,88281,88281,88281,Kishm,83916,83916,83916,BADAKHSHAN,Kishim,100000,100000,115000
BADAKHSHAN,Kohistan,,,17,1708,بدخشان,کوهستان,بدخشان,د کوهستان ,18092,18092,18092,18092,Kohistan,17198,17198,17198,BADAKHSHAN,Kohistan,20000,20000,23600
BADAKHSHAN,Kufab,,,17,1721,بدخشان,کوف آب,بدخشان,د کوف آب ,24379,24379,24379,24379,Kufab,23174,23174,23174,BADAKHSHAN,Kuf Ab,28000,28000,24400
BADAKHSHAN,Raghistan,,,17,1714,بدخشان,راغستان,بدخشان,د راغستان ,43243,43243,43243,43243,Raghistan,41104,41104,41104,BADAKHSHAN,Raghistan,49000,49000,41100
BADAKHSHAN,Shahri Buzurg,,,17,1713,بدخشان,شهربزرگ,بدخشان,د شهربزرگ ,57099,57099,57099,57099,Shahri Buzurg,54278,54278,54278,BADAKHSHAN,Shahr-e Buzurg,64000,64000,54300
BADAKHSHAN,Shighnan,,,17,1719,بدخشان,شیغنان,بدخشان,د شيغنان ,30411,30411,30411,30411,Shighnan,28908,28908,28908,BADAKHSHAN,Shighnan,34000,34000,32100
BADAKHSHAN,Shiki,,,17,1724,بدخشان,شکی,بدخشان,د شکی ,28743,28743,28743,28743,Shiki,27322,27322,27322,BADAKHSHAN,Shiki,31000,31000,13600
BADAKHSHAN,Shuhada,,,17,1712,بدخشان,شهدا,بدخشان,د شهدا ,37724,37724,37724,37724,Shuhada,35860,35860,35860,BADAKHSHAN,Shuhada,42000,42000,37800
BADAKHSHAN,Tagab,,,17,1717,بدخشان,تگاب,بدخشان,د تگاب ,30668,30668,30668,30668,Tagab,29152,29152,29152,BADAKHSHAN,Tagab,34000,34000,48700
BADAKHSHAN,Tashkan,,,17,1711,بدخشان,تشکان,بدخشان,د تشکان ,32592,32592,32592,32592,Tashkan,30980,30980,30980,BADAKHSHAN,Tashkan,36000,36000,46200
BADAKHSHAN,Wakhan,,,17,1728,بدخشان,واخان,بدخشان,د واخان ,16296,16296,16296,16296,Wakhan,15490,15490,15490,BADAKHSHAN,Wakhan,19000,19000,10900
BADAKHSHAN,Wardooj,,,17,1716,بدخشان,وردوج,بدخشان,د وردوج ,23866,23866,23866,23866,Wardooj,22686,22686,22686,BADAKHSHAN,Warduj,27000,27000,40400
BADAKHSHAN,Yaftal-e-Sufla,,Yaftal Payin,17,1704,بدخشان,یفتل سفلی,بدخشان,د يفتل سفلی ,57613,57613,57613,57613,Yaftal-e-Sufla,54765,54765,54765,BADAKHSHAN,Yaftal-e-Sufla,65000,65000,42300
BADAKHSHAN,Yamgan,,Girwan,17,1718,بدخشان,یمگان,بدخشان,د يمگان (گیروان) ,28101,28101,28101,28101,Yamgan(Girwan),26712,26712,26712,BADAKHSHAN,Yamgan,31000,31000,20400
BADAKHSHAN,Yawan,,,17,1709,بدخشان,یاوان,بدخشان,د ياوان ,35414,35414,35414,35414,Yawan,33664,33664,33664,BADAKHSHAN,Yawan,39000,39000,70600
BADAKHSHAN,Zebak,,,17,1725,بدخشان,زیباک,بدخشان,د زيباک ,8598,8598,8598,8598,Zebak,8172,8172,8172,BADAKHSHAN,Zebak,10000,10000,11000
BADGHIS,Ab Kamari,,,31,3102,بادغیس,آب کمری,بادغیس,د آب کمری ,80325,80325,80325,80325,Ab Kamari,76354,76354,76354,BADGHIS,Ab-e Kamari,89000,89000,75200
BADGHIS,Ghormach,,,31,3107,بادغیس,غور ماچ,بادغیس,د غور ماچ ,60179,60179,60179,60179,Ghormach,57205,57205,57205,BADGHIS,Ghormach,66000,66000,84600
BADGHIS,Jawand,,Tagab Alam,31,3106,بادغیس,جوند,بادغیس,د جوند ,86100,86100,86100,86100,Jawand,81843,81843,81843,BADGHIS,Jawand,98000,98000,163000
BADGHIS,Muqur,,,31,3103,بادغیس,مقر,بادغیس,د مقر ,25919,25919,25919,25919,Muqur,24638,24638,24638,BADGHIS,Muqur,32000,32000,63700
BADGHIS,Murghab,,Bala Murghab,31,3105,بادغیس,یمگان,بادغیس,د مرغاب (بالامرغاب) ,106116,106116,106116,106116,Murghab (Bala Murghab),100870,100870,100870,BADGHIS,Murghab,118000,118000,151000
BADGHIS,Qadis,,,31,3104,بادغیس,قادس,بادغیس,د قادس ,99316,99316,99316,99316,Qadis,94406,94406,94406,BADGHIS,Qadis,114000,114000,122000
BADGHIS,Qala-i-Now,Pashto and Farsi name differs,,31,3101,بادغیس,قلعه نو,بادغیس,قلعه نو,72619,72619,72619,72619,Badghis Center  (Qala-i- Now),68869,68869,68869,BADGHIS,Qal'ah-ye Now,76000,76000,66900
BAGHLAN,Andarab,,Bano Andarab,9,907,بغلان,اندراب,بغلان,د اندراب ,27843,27843,27843,27843,Andarab,26468,26468,26468,BAGHLAN,Andarab,32000,32000,36700
BAGHLAN,Baghlan-e-Jadeed,,Baghlani Markazi,9,905,بغلان,بغلان جدید,بغلان,د بغلان جديد ,190604,190604,190604,190604,Baghlan-e- Jadeed,180421,180421,180421,BAGHLAN,Baghlan-e Jadid,212000,212000,181000
BAGHLAN,Burka,,,9,910,بغلان,برکه,بغلان,د برکه ,57485,57485,57485,57485,Burka,54643,54643,54643,BAGHLAN,Burkah,64000,64000,69800
BAGHLAN,Dahana-e-Ghuri,,,9,902,بغلان,دهنه غوری,بغلان,د دهنه غوری ,64317,64317,64317,64317,Dahana-e-Ghuri,61118,61118,61118,BAGHLAN,Dahanah-ye Ghori,72000,72000,102000
BAGHLAN,Deh Salah,,,9,908,بغلان,ده صلاح,بغلان,د ده صلاح ,34901,34901,34901,34901,Deh  Salah,33176,33176,33176,BAGHLAN,Deh-e Salah,38000,38000,26600
BAGHLAN,Dushi,,,9,903,بغلان,دوشی,بغلان,د دوشی ,73011,73011,73011,73011,Dushi,69402,69402,69402,BAGHLAN,Doshi,86000,86000,91700
BAGHLAN,Firing Wa Gharu,,,9,915,بغلان,فرنگ و غارو,بغلان,د فرنگ وغارو ,18093,18093,18093,18093,Firing Wa Gharu,17198,17198,17198,BAGHLAN,Firing wa Gharu,20000,20000,22700
BAGHLAN,Gozargah-e-Noor,,,9,914,بغلان,گذرگاه نور,بغلان,د گذرگاه نور ,11035,11035,11035,11035,Gozargah-e- Noor,10490,10490,10490,BAGHLAN,Gozargah-e Nur,12000,12000,18400
BAGHLAN,Khinjan,,,9,906,بغلان,خنجان,بغلان,د خنجان ,33234,33234,33234,33234,Khinjan,31590,31590,31590,BAGHLAN,Khinjan,33000,33000,32200
BAGHLAN,Khost Wa Firing,,,9,913,بغلان,خوست و فرنگ,بغلان,د خوست و فرنگ ,68905,68905,68905,68905,Khost Wa Firing,65499,65499,65499,BAGHLAN,Khost wa Firing,77000,77000,92000
BAGHLAN,Khwaja Hejran,,Jalga,9,909,بغلان,خواجه هجران,بغلان,د خواجه هجران(جلگه ) ,26047,26047,26047,26047,Khwaja hejran (Jalga ),24760,24760,24760,BAGHLAN,Khwajah Hijran,29000,29000,33500
BAGHLAN,Nahreen,,,9,904,بغلان,نهرین,بغلان,د نهرين ,75682,75682,75682,75682,Nahreen,71883,71883,71883,BAGHLAN,Nahrin,85000,85000,74400
BAGHLAN,Pul-e-Hisar,,,9,912,بغلان,پل حصار,بغلان,د پل حصار ,30154,30154,30154,30154,Pul –e-Hisar,28663,28663,28663,BAGHLAN,Pul-e Hisar,34000,34000,19200
BAGHLAN,Pul-i-Khumri,,,9,901,بغلان,پلخمری,بغلان,پلخمری,233009,233009,233009,233009,Baghlan Center (Pul-i-Khumri),220311,220311,220311,BAGHLAN,Pul-e Khumri,261000,261000,241000
BAGHLAN,Tala Wa Barfak,,,9,911,بغلان,تاله وبر فک,بغلان,د تاله وبر فک ,32977,32977,32977,32977,Tala Wa Barfak,31347,31347,31347,BAGHLAN,Talah Wa Barfak,38000,38000,58800
BALKH,Balkh,,,21,2106,بلخ,بلخ,بلخ,د بلخ ,131218,131218,131218,131218,Balkh,124558,124558,124558,BALKH,Balkh,149000,149000,107000
BALKH,Char Bolak,,,21,2111,بلخ,چار بولک,بلخ,د چار بولک ,88408,88408,88408,88408,Char Bolak,84038,84038,84038,BALKH,Chahar Bolak,100000,100000,95500
BALKH,Char Kent,,,21,2104,بلخ,چارکنت,بلخ,د چارکنت ,48502,48502,48502,48502,Char kent,46105,46105,46105,BALKH,Chahar Kent,53000,53000,46900
BALKH,Chimtal,,,21,2108,بلخ,چمتال,بلخ,د چمتال ,100086,100086,100086,100086,Chimtal,95138,95138,95138,BALKH,Chimtal,114000,114000,115000
BALKH,Dawlat Abad,,,21,2109,بلخ,دولت اباد,بلخ,د دولت آباد ,114853,114853,114853,114853,Dawlat Abad,109057,109057,109057,BALKH,Dowlatabad,127000,127000,127000
BALKH,Dehdadi,,,21,2103,بلخ,دهدادی,بلخ,د دهدادی ,73652,73652,73652,73652,Dehdadi,70012,70012,70012,BALKH,Dehdadi,82000,82000,77600
BALKH,Kaldar,,,21,2113,بلخ,کلدار,بلخ,د کلدار ,21814,21814,21814,21814,Kaldar,20736,20736,20736,BALKH,Kaldar,14000,14000,40500
BALKH,Khulm,,Tashqurghan,21,2110,بلخ,خلم,بلخ,د خلم ,79471,79471,79471,79471,Khulm,74990,74990,74990,BALKH,Khulm,87000,87000,82000
BALKH,Kishindeh,,,21,2114,بلخ,کشنده,بلخ,د کشندى ,53122,53122,53122,53122,Kishindeh,50496,50496,50496,BALKH,Kishindeh,59000,59000,77100
BALKH,Marmul,,,21,2105,بلخ,مارمل,بلخ,د مارمل ,12447,12447,12447,12447,Marmul,11832,11832,11832,BALKH,Marmul,14000,14000,14300
BALKH,Mazar-e-Sharif,,,21,2101,بلخ,مزار شریف,بلخ,مزار شریف,454457,454457,454457,454457,Balkh Center (Mazar-e- sharif),415053,415053,415053,BALKH,Mazar-e-Sharif,448000,448000,242000
BALKH,Sharak-e Hairatan,Hairatan isn't recognized by CSO,,NA,NA,بلخ,شرک حیرتان,بلخ,شرک حیرتان,NA,NA,NA,NA,NA,NA,NA,NA,BALKH,Sharak-e Hairatan,10000,10000,16000
BALKH,Nahri Shahi,,,21,2102,بلخ,ولسوا لی نهر شاهی,بلخ,د نهر شاهی ,49016,49016,49016,49016,Nahri Shahi,46593,46593,46593,BALKH,Nahr-e Shahi,96000,96000,254000
BALKH,Sholgara,,,21,2107,بلخ,شولگره,بلخ,د شولگرى ,124697,124697,124697,124697,Sholgara,118418,118418,118418,BALKH,Sholgarah,141000,141000,140000
BALKH,Shortepa,,,21,2112,بلخ,شورتیپه,بلخ,د شورتيپى ,43243,43243,43243,43243,Shortepa,41104,41104,41104,BALKH,Shortepah,48000,48000,78500
BALKH,Zari,,,21,2115,بلخ,زاری,بلخ,د زاری ,47861,47861,47861,47861,Zari,45496,45496,45496,BALKH,Zari,53000,53000,67300
BAMIYAN,Bamyan,,,10,1001,بامیان,بامیان,بامیان,بامیان,91428,91428,91428,91428,Bamyan Center (Bamyan ),86766,86766,86766,BAMIYAN,Bamyan,99000,99000,124000
BAMIYAN,Kahmard,,,10,1004,بامیان,کهمرد,بامیان,د کهمرد ,39648,39648,39648,39648,Kahmard,37689,37689,37689,BAMIYAN,Kahmard,44000,44000,57700
BAMIYAN,Panjab,,,10,1006,بامیان,پنجاب,بامیان,د پنجاب ,74423,74423,74423,74423,Panjab,70744,70744,70744,BAMIYAN,Panjab,84000,84000,60300
BAMIYAN,Saighan,,,10,1003,بامیان,سیغان,بامیان,د سيغان ,26176,26176,26176,26176,Saighan,24882,24882,24882,BAMIYAN,Sayghan,30000,30000,40700
BAMIYAN,Shebar,,,10,1002,بامیان,شیبر,بامیان,د شيبر ,32207,32207,32207,32207,Shebar,30615,30615,30615,BAMIYAN,Shaybar,36000,36000,48500
BAMIYAN,Waras,,,10,1007,بامیان,ورس,بامیان,د ورس ,119075,119075,119075,119075,Waras,113190,113190,113190,BAMIYAN,Waras,134000,134000,110000
BAMIYAN,Yakawlang,,Yak. No 1,10,1005,بامیان,یکاولنگ,بامیان,د يکاولنگ ,66468,66468,95467,95467,Yakawlang,63181,90747,90747,BAMIYAN,Yakawlang,110000,110000,103000
BAMIYAN,Yakawlang No. 2,Yakawlang No.2 is part of Yakawland in the 407-district set.,Yakawlang Hesa-i-Doyem,10,1008,بامیان,یکاولنگ ۲,بامیان,د يکاولنگ  ۲,28999,28999,NA,NA,Yakawlang No 2,27566,NA,NA,NA,NA,NA,NA,NA
DAIKUNDI,Giti,,Kiti,24,2405,دایکندی,گیتی,دایکندی,د گيتی ,54506,54506,54506,54506,Giti,34762,34762,34762,DAIKUNDI,Gayti,43000,43000,60400
DAIKUNDI,Ishterlai,,,24,2403,دایکندی,ولسوالیاشترلی,دایکندی,د  اشترلی ,59082,59082,59082,59082,Ishterlai,49398,49398,49398,DAIKUNDI,Ishterlay,59000,59000,57900
DAIKUNDI,Kejran,,,24,2408,دایکندی,کجران,دایکندی,د کجران ,35795,35795,35795,35795,Kejran,36348,36348,36348,DAIKUNDI,Kejran,42000,42000,43900
DAIKUNDI,Khedir,,Dai Kundi [?],24,2404,دایکندی,خدیر,دایکندی,د خدير ,51607,51607,51607,51607,Khedir,48423,48423,48423,DAIKUNDI,Khedir,55000,55000,37300
DAIKUNDI,Miramor,,,24,2406,دایکندی,میرامور,دایکندی,د ميرامور ,83081,83081,83081,83081,Miramor,65011,65011,65011,DAIKUNDI,Mir Amor,76000,76000,91000
DAIKUNDI,Nili,,Layli,24,2401,دایکندی,نیلی,دایکندی,نیلی,41367,41367,41367,41367,Daykundi Center (Nili),42324,42324,42324,DAIKUNDI,Nili,50000,50000,40200
DAIKUNDI,Patoo,Patoo is part of Gizab in the 407-district set.,,24,2409,دایکندی,پاتو,دایکندی,د گيزاب ,38399,38399,NA,NA,Patoo,0,NA,NA,NA,NA,NA,NA,NA
DAIKUNDI,Sang-e-Takht,,Sang-e-Takht Bandar,24,2407,دایکندی,سنگ تخت,دایکندی,د سنگ تخت ,57023,57023,57023,57023,Sang -e- Takht,52569,52569,52569,DAIKUNDI,Sang-e Takht,62000,62000,37700
DAIKUNDI,Shahristan,,,24,2402,دایکندی,شهرستان,دایکندی,د شهرستان ,77980,77980,77980,77980,Shahristan,69036,69036,69036,DAIKUNDI,Shahristan,81000,81000,86300
FARAH,Anar Dara,,,33,3307,فراه,اناردره,فراه,د اناردرى ,30412,30412,30412,30412,Anar Dara,28907,28907,28907,FARAH,Anar Dara,34000,34000,49600
FARAH,Bakwa,,,33,3308,فراه,بکواه,فراه,د بکواه ,38751,38751,38751,38751,Bakwa,36836,36836,36836,FARAH,Bakwah,43000,43000,69500
FARAH,Bala Buluk,,,33,3306,فراه,بالا بلوک,فراه,د بالا بلوک ,78014,78014,78014,78014,Bala Buluk,74159,74159,74159,FARAH,Bala Boluk,87000,87000,85300
FARAH,Farah,,,33,3301,فراه,فراه,فراه,فراه,123135,123135,123135,123135,Farah Center (Farah),116639,116639,116639,FARAH,Farah,139000,139000,159000
FARAH,Gulistan,,,33,3310,فراه,گلستان,فراه,د گلستان ,47347,47347,47347,47347,Gulistan,45008,45008,45008,FARAH,Gulistan,53000,53000,63300
FARAH,Khak-i-Safed,,,33,3303,فراه,خاک سفید,فراه,د خاک سفيد,33106,33106,33106,33106,Khak-i-safed,31468,31468,31468,FARAH,Khak-e Safed,37000,37000,44100
FARAH,Lash-i-Juwayn,,,33,3309,فراه,لاش جو ین,فراه,د لاش جوين ,30539,30539,30539,30539,Lash-i- Juwayn,29029,29029,29029,FARAH,Lash-i Juwayn,34000,34000,25000
FARAH,Pur Chaman,,,33,3311,فراه,پرچمن,فراه,د پرچمن ,58382,58382,58382,58382,Pur Chaman,55497,55497,55497,FARAH,Pur Chaman,64000,64000,88700
FARAH,Pushtrud,,,33,3302,فراه,پشت رود,فراه,د پشت رود,44398,44398,44398,44398,Pushtrud,42202,42202,42202,FARAH,Pusht-e Rod,50000,50000,58600
FARAH,Qala-i-Kah,,Pusht Koh,33,3304,فراه,قلعه کاه,فراه,د قلعۀ کاه ,33618,33618,33618,33618,Qala-i-kah,31956,31956,31956,FARAH,Qal'ah-ye Kah,38000,38000,35000
FARAH,Shibkoh,,,33,3305,فراه,شیب کوه,فراه,د شيب کوه ,25535,25535,25535,25535,Shibkoh,24272,24272,24272,FARAH,Shayb Koh,27000,27000,20400
FARYAB,Almar,,,29,2904,فاریاب,المار,فاریاب,د المار,76733,76733,76733,76733,Almar,72939,72939,72939,FARYAB,Almar,89000,89000,84500
FARYAB,Andkhoy,,,29,2913,فاریاب,اندخوی,فاریاب,د اندخوی ,44715,44715,44715,44715,Andkhoy,42143,42143,42143,FARYAB,Andkhoy,49000,49000,71200
