"province_code","district_code","district_name_eng","district_or_subdivision_name","provincial_capital"
"01","0101","KABUL CITY","NAHIA 01","YES"
"01","0101","KABUL CITY","NAHIA 02","YES"
"01","0101","KABUL CITY","NAHIA 03","YES"
"01","0101","KABUL CITY","NAHIA 04","YES"
"01","0101","KABUL CITY","NAHIA 05","YES"
"01","0101","KABUL CITY","NAHIA 06","YES"
"01","0101","KABUL CITY","NAHIA 07","YES"
"01","0101","KABUL CITY","NAHIA 08","YES"
"01","0101","KABUL CITY","NAHIA 09","YES"
"01","0101","KABUL CITY","NAHIA 10","YES"
"01","0101","KABUL CITY","NAHIA 11","YES"
"01","0101","KABUL CITY","NAHIA 12","YES"
"01","0101","KABUL CITY","NAHIA 13","YES"
"01","0101","KABUL CITY","NAHIA 14","YES"
"01","0101","KABUL CITY","NAHIA 15","YES"
"01","0101","KABUL CITY","NAHIA 16","YES"
"01","0101","KABUL CITY","NAHIA 17","YES"
"01","0101","KABUL CITY","NAHIA 18","YES"
"01","0101","KABUL CITY","NAHIA 19","YES"
"01","0101","KABUL CITY","NAHIA 21","YES"
"01","0101","KABUL CITY","NAHIA 22","YES"
"01","0102","PAGHMAN","PAGHMAN","NO"
"01","0103","CHAHARASYAB","CHAHARASYAB","NO"
"01","0104","BAGRAMI","BAGRAMI","NO"
"01","0105","DEHSABZ","DEHSABZ","NO"
"01","0106","SHAKARDARA","SHAKARDARA","NO"
"01","0107","MOSAHI","MOSAHI","NO"
"01","0108","MIRBACHAKOT","MIRBACHAKOT","NO"
"01","0109","KHAKEJABAR","KHAKEJABAR","NO"
"01","0110","KALAKAN","KALAKAN","NO"
"01","0111","GULDARA","GULDARA","NO"
"01","0112","FARZA","FARZA","NO"
"01","0113","ISTALIF","ISTALIF","NO"
"01","0114","QARABAGH","QARABAGH","NO"
"01","0115","SUROBI","SUROBI","NO"
"02","0201","MAHMODRAQI","MAHMODRAQI","YES"
"02","0202","HISSA-E-DUWUMI KOHISTAN","HISSA-E-DUWUMI KOHISTAN","NO"
"02","0203","KOHBAND","KOHBAND","NO"
"02","0204","HESE  AWAL KOHESTAN","HESE  AWAL KOHESTAN","NO"
"02","0205","NEJRAB","NEJRAB","NO"
"02","0206","TAGAB","TAGAB","NO"
"02","0207","ALASAY","ALASAY","NO"
"03","0301","CHARIKAR","CHARIKAR","YES"
"03","0302","BAGRAM","BAGRAM","NO"
"03","0303","SHINWARI","SHINWARI","NO"
"03","0304","SAYDKHEL","SAYDKHEL","NO"
"03","0305","JABALUSARAJ","JABALUSARAJ","NO"
"03","0306","SALANG","SALANG","NO"
"03","0307","GHORBAND (SIA GERD)","GHORBAND (SIA GERD)","NO"
"03","0308","KOHESAFI","KOHESAFI","NO"
"03","0309","SURKH PARSA","SURKH PARSA","NO"
"03","0310","SHIKHALI","SHIKHALI","NO"
"04","0401","MAYDANSHAHR","MAYDANSHAHR","YES"
"04","0402","NIRKH","NIRKH","NO"
"04","0403","JALRIZ","JALRIZ","NO"
"04","0404","CHAK","CHAK","NO"
"04","0405","SAYDABAD","SAYDABAD","NO"
"04","0406","DAYMIRDAD","DAYMIRDAD","NO"
"04","0407","HISE AWAL BEHSOD","HISE AWAL BEHSOD","NO"
"04","0408","JAGHATO","JAGHATO","NO"
"04","0409","MARKAZ BIHSOD","MARKAZ BIHSOD","NO"
"05","0501","PULE ALAM","PULE ALAM","YES"
"05","0502","BARAKIBARAK","BARAKIBARAK","NO"
"05","0503","CHARKH","CHARKH","NO"
"05","0504","KHOSHI","KHOSHI","NO"
"05","0505","MUHAMMADAGHA","MUHAMMADAGHA","NO"
"05","0506","KHARWAR","KHARWAR","NO"
"05","0507","AZRA","AZRA","NO"
"06","0601","JALALABAD","JALALABAD","YES"
"06","0602","BIHSOD","BIHSOD","NO"
"06","0603","SURKHROD","SURKHROD","NO"
"06","0604","CHAPARHAR","CHAPARHAR","NO"
"06","0605","KAMA","KAMA","NO"
"06","0606","KOZ KUNAR","KOZ KUNAR","NO"
"06","0607","RODAT","RODAT","NO"
"06","0608","KHOGYANI","KHOGYANI","NO"
"06","0609","BATIKOT","BATIKOT","NO"
"06","0610","DEHBALA","DEHBALA","NO"
"06","0611","PACHERAGAM","PACHERAGAM","NO"
"06","0612","DARA NOOR","DARA NOOR","NO"
"06","0613","KOT","KOT","NO"
"06","0614","GOSHTA","GOSHTA","NO"
"06","0615","ACHEEN","ACHEEN","NO"
"06","0616","SHINWAR","SHINWAR","NO"
"06","0617","MUHMAND DARA","MUHMAND DARA","NO"
"06","0618","LAL POOR","LAL POOR","NO"
"06","0619","SHIRZAD","SHIRZAD","NO"
"06","0620","NAZYAN","NAZYAN","NO"
"06","0621","HISARAK","HISARAK","NO"
"06","0622","DURBABA","DURBABA","NO"
"06","0623","SPIN GHAR","SPIN GHAR","NO"
"07","0701","MEHTARLAM","MEHTARLAM","YES"
"07","0702","QARGHAYE","QARGHAYE","NO"
"07","0703","ALISHENG","ALISHENG","NO"
"07","0704","ALINGAR","ALINGAR","NO"
"07","0705","DAWLATSHAH","DAWLATSHAH","NO"
"07","0706","BAD PAKH","BAD PAKH","NO"
"08","0801","BAZARAK","BAZARAK","YES"
"08","0802","RUKHA","RUKHA","NO"
"08","0803","DARA","DARA","NO"
"08","0804","KHENJ (HESAE AWAL)","KHENJ (HESAE AWAL)","NO"
"08","0805","ONABA","ONABA","NO"
"08","0806","SHUTUL","SHUTUL","NO"
"08","0807","PARYAN","PARYAN","NO"
"08","0808","ABSHAR","ABSHAR","NO"
"09","0901","PULE KHUMRI","PULE KHUMRI","YES"
"09","0902","DAHANAE GHORI","DAHANAE GHORI","NO"
"09","0903","DOSHI","DOSHI","NO"
"09","0904","NAHREEN","NAHREEN","NO"
"09","0905","BAGHLAN JADID","BAGHLAN JADID","NO"
"09","0906","KHINJAN","KHINJAN","NO"
"09","0907","ANDARAB","ANDARAB","NO"
"09","0908","DEHSALAH","DEHSALAH","NO"
"09","0909","KHWAJAHEJRAN","KHWAJAHEJRAN","NO"
"09","0910","BORKA","BORKA","NO"
"09","0911","TALA WA BARFAK","TALA WA BARFAK","NO"
"09","0912","PULE HESAR","PULE HESAR","NO"
"09","0913","KHOST WA FERENG","KHOST WA FERENG","NO"
"09","0914","GUZARGAHE NOOR","GUZARGAHE NOOR","NO"
"09","0915","FIRING GHARO","FIRING GHARO","NO"
"10","1001","BAMYAN","BAMYAN","YES"
"10","1002","SHEBAR","SHEBAR","NO"
"10","1003","SAYGHAN","SAYGHAN","NO"
"10","1004","KAHMARD","KAHMARD","NO"
"10","1005","YAKAWLANG","YAKAWLANG","NO"
"10","1006","PANJAB","PANJAB","NO"
"10","1007","WARAS","WARAS","NO"
"10","1008","YAKAWLANG NUMBER 2","YAKAWLANG NUMBER 2","NO"
"11","1101","GHAZNI","GHAZNI","YES"
"11","1102","WALEMUHAMMAD SHAHEED","WALEMUHAMMAD SHAHEED","NO"
"11","1103","KHWAJAUMARI","KHWAJAUMARI","NO"
"11","1104","WAGHAZ","WAGHAZ","NO"
"11","1105","DEHYAK","DEHYAK","NO"
"11","1106","JAGHATO","JAGHATO","NO"
"11","1107","ANDAR","ANDAR","NO"
"11","1108","ZANAKHAN","ZANAKHAN","NO"
"11","1109","RASHEEDAN","RASHEEDAN","NO"
"11","1110","NAWUR","NAWUR","NO"
"11","1111","QARABAGH","QARABAGH","NO"
"11","1112","GEERO","GEERO","NO"
"11","1113","AB BAND","AB BAND","NO"
"11","1114","JAGHORI","JAGHORI","NO"
"11","1115","MUQUR","MUQUR","NO"
"11","1116","MALESTAN","MALESTAN","NO"
"11","1117","GELAN","GELAN","NO"
"11","1118","AJRESTAN","AJRESTAN","NO"
"11","1119","NAWA","NAWA","NO"
"12","1201","SHARAN","SHARAN","YES"
"12","1202","MATAKHAN","MATAKHAN","NO"
"12","1203","YOSUFKHEL","YOSUFKHEL","NO"
"12","1204","YAHYAKHEL","YAHYAKHEL","NO"
"12","1205","SAR RAWZA","SAR RAWZA","NO"
"12","1206","OMNA","OMNA","NO"
"12","1207","ZARGHONSHAHR","ZARGHONSHAHR","NO"
"12","1208","GOMAL","GOMAL","NO"
"12","1209","JANIKHEL","JANIKHEL","NO"
"12","1210","SAROBI","SAROBI","NO"
"12","1211","URGUN","URGUN","NO"
"12","1212","‌‌ZEEROK‌‎‌‎‌‎‌‎","‌‌ZEEROK‌‎‌‎‌‎‌‎","NO"
"12","1213","NEEKA‌‎‌‎‌‎‌‎","NEEKA‌‎‌‎‌‎‌‎","NO"
"12","1214","BARAL","BARAL","NO"
"12","1215","GYAN","GYAN","NO"
"12","1216","DELA","DELA","NO"
"12","1217","WAZAKHUA","WAZAKHUA","NO"
"12","1218","WORMAMAY","WORMAMAY","NO"
"12","1219","TURWO ","TURWO ","NO"
"13","1301","GARDEZ","GARDEZ","YES"
"13","1302","AHMADABA","AHMADABA","NO"
"13","1303","ZURMAT","ZURMAT","NO"
"13","1304","SHUWAK","SHUWAK","NO"
"13","1305","ZADRAN","ZADRAN","NO"
"13","1306","SAYEDKARAM","SAYEDKARAM","NO"
"13","1307","JAJEE","JAJEE","NO"
"13","1308","LEJA AHMADKHEL","LEJA AHMADKHEL","NO"
"13","1309","JANIKHEL","JANIKHEL","NO"
"13","1310","CHAMKANI","CHAMKANI","NO"
"13","1311","DAND WA PATAN","DAND WA PATAN","NO"
"13","1312","LEJAMANGAL","LEJAMANGAL","NO"
"13","1313","MEARZAKA","MEARZAKA","NO"
"13","1314","GARDA SIRAY","GARDA SIRAY","NO"
"13","1315","ROHANI BABA","ROHANI BABA","NO"
"14","1401","KHOST (MATON)","KHOST (MATON)","YES"
"14","1402","MANDOZAY","MANDOZAY","NO"
"14","1403","GURBUZ","GURBUZ","NO"
"14","1404","TANI","TANI","NO"
"14","1405","MOSAKHEL","MOSAKHEL","NO"
"14","1406","NADIRSHAHKOT","NADIRSHAHKOT","NO"
"14","1407","SABARI","SABARI","NO"
"14","1408","TIREZAYE","TIREZAYE","NO"
"14","1409","BAK","BAK","NO"
"14","1410","QALANDAR","QALANDAR","NO"
"14","1411","SPERA","SPERA","NO"
"14","1412","SHAMAL","SHAMAL","NO"
"14","1413","JAJIMAYDAN","JAJIMAYDAN","NO"
"15","1501","ASADABAD","ASADABAD","YES"
"15","1502","MARAWARA","MARAWARA","NO"
"15","1503","WATAPOOR","WATAPOOR","NO"
"15","1504","NARANG","NARANG","NO"
"15","1505","SARKANI","SARKANI","NO"
"15","1506","SHEGAL","SHEGAL","NO"
"15","1507","DARAE PECH","DARAE PECH","NO"
"15","1508","BARKUNAR","BARKUNAR","NO"
"15","1509","SAWKAY","SAWKAY","NO"
"15","1510","KHASKUNAR","KHASKUNAR","NO"
"15","1511","GHAZIABAD","GHAZIABAD","NO"
"15","1512","DANGAM","DANGAM","NO"
"15","1513","CHAPADARA","CHAPADARA","NO"
"15","1514","NORGAL","NORGAL","NO"
"15","1515","NARI","NARI","NO"
"15","1516","SHELTAN","SHELTAN","NO"
"16","1601","PAROON","PAROON","YES"
"16","1602","WAYGAL","WAYGAL","NO"
"16","1603","WAMA","WAMA","NO"
"16","1604","NOORGERAM","NOORGERAM","NO"
"16","1605","DOAB","DOAB","NO"
"16","1606","KAMDESH","KAMDESH","NO"
"16","1607","MANDOL","MANDOL","NO"
"16","1608","BARGEMATAL","BARGEMATAL","NO"
"17","1701","FAYZABAD","FAYZABAD","YES"
"17","1702","ARGO","ARGO","NO"
"17","1703","ARGHANCHKHWA","ARGHANCHKHWA","NO"
"17","1704","YAFTAL SUFLA","YAFTAL SUFLA","NO"
"17","1705","KHASH","KHASH","NO"
"17","1706","BAHARAK","BAHARAK","NO"
"17","1707","DARAYEM","DARAYEM","NO"
"17","1708","KOHESTAN","KOHESTAN","NO"
"17","1709","YAWAN","YAWAN","NO"
"17","1710","JURM","JURM","NO"
"17","1711","TESHKAN","TESHKAN","NO"
"17","1712","SHUHADA","SHUHADA","NO"
"17","1713","SHAHR BUZORG","SHAHR BUZORG","NO"
"17","1714","RAGHESTAN","RAGHESTAN","NO"
"17","1715","KESHEM","KESHEM","NO"
"17","1716","WARDOJ","WARDOJ","NO"
"17","1717","TAGAB","TAGAB","NO"
"17","1718","YAMGAN","YAMGAN","NO"
"17","1719","SHEGHNAN","SHEGHNAN","NO"
"17","1720","KHWAHAN","KHWAHAN","NO"
"17","1721","KOFAB","KOFAB","NO"
"17","1722","DARWAZ PAYEN (MAMAY)","DARWAZ PAYEN (MAMAY)","NO"
"17","1723","ESHKASHEM","ESHKASHEM","NO"
"17","1724","SHAKI","SHAKI","NO"
"17","1725","ZEBAK","ZEBAK","NO"
"17","1726","KERAN WA MENJAN","KERAN WA MENJAN","NO"
"17","1727","DARWAZ BALA (NESAY)","DARWAZ BALA (NESAY)","NO"
"17","1728","WAKHAN","WAKHAN","NO"
"18","1801","TALUQAN","TALUQAN","YES"
"18","1802","HAZARSUMOCH","HAZARSUMOCH","NO"
"18","1803","BAHARAK","BAHARAK","NO"
"18","1804","BANGI","BANGI","NO"
"18","1805","CHAL","CHAL","NO"
"18","1806","NAMAKAB","NAMAKAB","NO"
"18","1807","KALAFGAN","KALAFGAN","NO"
"18","1808","FARKHAR","FARKHAR","NO"
"18","1809","KHWAJAGHAR","KHWAJAGHAR","NO"
"18","1810","RUSTAQ","RUSTAQ","NO"
"18","1811","ESHKAMESH","ESHKAMESH","NO"
"18","1812","DASHT QALA","DASHT QALA","NO"
"18","1813","WARSAJ","WARSAJ","NO"
"18","1814","KHWAJA BAHAUDIN","KHWAJA BAHAUDIN","NO"
"18","1815","DARQAD","DARQAD","NO"
"18","1816","CHAHAB","CHAHAB","NO"
"18","1817","YANGI QALA","YANGI QALA","NO"
"19","1901","KUNDUZ","KUNDUZ","YES"
"19","1902","CHAHAR DARAH","CHAHAR DARAH","NO"
"19","1903","ALI ABAD","ALI ABAD","NO"
"19","1904","KHAN ABAD","KHAN ABAD","NO"
"19","1905","EMAM SAHEB","EMAM SAHEB","NO"
"19","1906","DASHT ARCHI","DASHT ARCHI","NO"
"19","1907","QALAE ZAL","QALAE ZAL","NO"
"19","1908","KALBAD","KALBAD","NO"
"19","1909","GULTAPA","GULTAPA","NO"
"19","1910","AQTASH","AQTASH","NO"
"20","2001","AYBAK","AYBAK","YES"
"20","2002","HAZRATE SULTAN","HAZRATE SULTAN","NO"
"20","2003","KHURAM WA SARBAGH","KHURAM WA SARBAGH","NO"
"20","2004","FIROZ NAKHCHEER","FIROZ NAKHCHEER","NO"
"20","2005","ROYE DOAB","ROYE DOAB","NO"
"20","2006","DARAE SOFE PAYEN","DARAE SOFE PAYEN","NO"
"20","2007","DARAE SOFE BALA","DARAE SOFE BALA","NO"
"21","2101","MAZARE SHARIF","MAZARE SHARIF","YES"
"21","2102","NAHR SHAHI","NAHR SHAHI","NO"
"21","2103","DEHDADI","DEHDADI","NO"
"21","2104","CHARKENT","CHARKENT","NO"
"21","2105","MARMUL","MARMUL","NO"
"21","2106","BALKH","BALKH","NO"
"21","2107","SHOLGARA","SHOLGARA","NO"
"21","2108","CHEMTAL","CHEMTAL","NO"
"21","2109","DAWLATABAD","DAWLATABAD","NO"
"21","2110","KHULM","KHULM","NO"
"21","2111","CHARBOLAK","CHARBOLAK","NO"
"21","2112","SHORTEPA","SHORTEPA","NO"
"21","2113","KALDAR","KALDAR","NO"
"21","2114","KUSHENDEH","KUSHENDEH","NO"
"21","2115","ZARI","ZARI","NO"
"22","2201","SARE PUL","SARE PUL","YES"
"22","2202","SAYAD","SAYAD","NO"
"22","2203","KOHESTANAT","KOHESTANAT","NO"
"22","2204","SOZMAQALA","SOZMAQALA","NO"
"22","2205","SANCHARAK","SANCHARAK","NO"
"22","2206","GOSFANDI","GOSFANDI","NO"
"22","2207","BALKHAB","BALKHAB","NO"
"23","2301","FEROZKOH (CHEGHCHERAN)","FEROZKOH (CHEGHCHERAN)","YES"
"23","2302","DOLAYNA","DOLAYNA","NO"
"23","2303","DAWLATYAR","DAWLATYAR","NO"
"23","2304","CHARSADA","CHARSADA","NO"
"23","2305","PASABAND","PASABAND","NO"
"23","2306","SHAHRAK","SHAHRAK","NO"
"23","2307","LAL WA SARJANGAL","LAL WA SARJANGAL","NO"
"23","2308","TAYWARA","TAYWARA","NO"
"23","2309","TOLAK","TOLAK","NO"
"23","2310","SAGHAR","SAGHAR","NO"
"24","2401","NILI","NILI","YES"
"24","2402","SHAHRESTAN","SHAHRESTAN","NO"
"24","2403","PATO","PATO","NO"
"24","2404","ESHTARLAY","ESHTARLAY","NO"
"24","2405","KHADER","KHADER","NO"
"24","2406","KITI","KITI","NO"
"24","2407","MERAMOR","MERAMOR","NO"
"24","2408","SANG TAKHT","SANG TAKHT","NO"
"24","2409","KAJRAN","KAJRAN","NO"
"25","2501","TIRENKOT","TIRENKOT","YES"
"25","2502","DEHRAWUD","DEHRAWUD","NO"
"25","2503","CHORA","CHORA","NO"
"25","2504","SHAHED HASAS","SHAHED HASAS","NO"
"25","2505","KHASURUZGAN","KHASURUZGAN","NO"
"25","2506","CHENARTO","CHENARTO","NO"
"25","2507","GIZAB","GIZAB","NO"
"26","2601","QALAT","QALAT","YES"
"26","2602","TARNAK WA JALDAK","TARNAK WA JALDAK","NO"
"26","2603","SHINKAI","SHINKAI","NO"
"26","2604","MEZAN","MEZAN","NO"
"26","2605","ARGHANDAB","ARGHANDAB","NO"
"26","2606","SHAHJOY","SHAHJOY","NO"
"26","2607","DAYCHOPAN","DAYCHOPAN","NO"
"26","2608","ATGHAR","ATGHAR","NO"
"26","2609","NAWBAHAR","NAWBAHAR","NO"
"26","2610","SHUMULZAY","SHUMULZAY","NO"
"26","2611","KAKAR","KAKAR","NO"
"27","2701","KANDAHAR","KANDAHAR","YES"
"27","2702","ARGHANDAB","ARGHANDAB","NO"
"27","2703","DAMAN","DAMAN","NO"
"27","2704","PANJWAYE","PANJWAYE","NO"
"27","2705","ZHERAY","ZHERAY","NO"
"27","2706","SHAHWALEKOT","SHAHWALEKOT","NO"
"27","2707","KHAKREZ","KHAKREZ","NO"
"27","2708","ARGHESTAN","ARGHESTAN","NO"
"27","2709","GHORAK","GHORAK","NO"
"27","2710","MAYWAND","MAYWAND","NO"
"27","2711","SPENBOLDAK","SPENBOLDAK","NO"
"27","2712","NESH","NESH","NO"
"27","2713","MIYANSHIN","MIYANSHIN","NO"
"27","2714","SHORABAK","SHORABAK","NO"
"27","2715","MAROF","MAROF","NO"
"27","2716","REG","REG","NO"
"27","2717","DAND","DAND","NO"
"27","2718","TAKHTAPUL","TAKHTAPUL","NO"
"28","2801","SHEBERGHAN","SHEBERGHAN","YES"
"28","2802","KHWAJA DOKOH","KHWAJA DOKOH","NO"
"28","2803","KHANEQA","KHANEQA","NO"
"28","2804","MENGAJEK","MENGAJEK","NO"
"28","2805","QOSHTEPA","QOSHTEPA","NO"
"28","2806","KHAMYAB","KHAMYAB","NO"
"28","2807","AQCHA","AQCHA","NO"
"28","2808","FAYZABAD","FAYZABAD","NO"
"28","2809","MARDYAN","MARDYAN","NO"
"28","2810","QARQEEN","QARQEEN","NO"
"28","2811","DARZAB","DARZAB","NO"
"29","2901","MAYMANA","MAYMANA","YES"
"29","2902","PASHTONKOT","PASHTONKOT","NO"
"29","2903","KHWAJA SABZPOSH","KHWAJA SABZPOSH","NO"
"29","2904","ALMAR","ALMAR","NO"
"29","2905","BELCHERAGH","BELCHERAGH","NO"
"29","2906","SHIRINTAGAB","SHIRINTAGAB","NO"
"29","2907","QAYSAR","QAYSAR","NO"
"29","2908","GURZIWAN","GURZIWAN","NO"
"29","2909","DAWLATABAD","DAWLATABAD","NO"
"29","2910","KOHESTAN","KOHESTAN","NO"
"29","2911","QARAMQUL","QARAMQUL","NO"
"29","2912","QURGHAN","QURGHAN","NO"
"29","2913","ANDKHOY","ANDKHOY","NO"
"29","2914","KHAN CHAR BAGH","KHAN CHAR BAGH","NO"
"30","3001","LASHKARGAH","LASHKARGAH","YES"
"30","3002","NADALI","NADALI","NO"
"30","3003","NAWAE BARAKZAYE","NAWAE BARAKZAYE","NO"
"30","3004","NAHR SARAJ","NAHR SARAJ","NO"
"30","3005","WASHIR","WASHIR","NO"
"30","3006","GARMSER","GARMSER","NO"
"30","3007","NAWZAD","NAWZAD","NO"
"30","3008","SANGEEN","SANGEEN","NO"
"30","3009","MOSAQALA","MOSAQALA","NO"
"30","3010","KAJAKI","KAJAKI","NO"
"30","3011","REG(KHAN NESHIN)","REG(KHAN NESHIN)","NO"
"30","3012","BAGHRAN","BAGHRAN","NO"
"30","3013","DISHO","DISHO","NO"
"30","3014","MARJA","MARJA","NO"
"30","3015","NAWAMISH","NAWAMISH","NO"
"31","3101","QALAE NAW","QALAE NAW","YES"
"31","3102","ABKAMARI","ABKAMARI","NO"
"31","3103","MUQUR","MUQUR","NO"
"31","3104","QADEES","QADEES","NO"
"31","3105","MURGHAB","MURGHAB","NO"
"31","3106","JAWAND","JAWAND","NO"
"31","3107","GHORMACH","GHORMACH","NO"
"32","3201","HERAT","HERAT","YES"
"32","3202","ENJEEL","ENJEEL","NO"
"32","3203","GUZARA","GUZARA","NO"
"32","3204","KARUKH","KARUKH","NO"
"32","3205","ZENDAJAN","ZENDAJAN","NO"
"32","3206","PASHTON ZARGHON","PASHTON ZARGHON","NO"
"32","3207","KUSHK","KUSHK","NO"
"32","3208","GULRAN","GULRAN","NO"
"32","3209","ADRASKAN","ADRASKAN","NO"
"32","3210","KUSHK KUHNA","KUSHK KUHNA","NO"
"32","3211","GHORYAN","GHORYAN","NO"
"32","3212","OBI","OBI","NO"
"32","3213","KOHSAN","KOHSAN","NO"
"32","3214","SHEENDND","SHEENDND","NO"
"32","3215","FARSI","FARSI","NO"
"32","3216","CHISHT SHAREF","CHISHT SHAREF","NO"
"32","3217","ZIR KOH","ZIR KOH","NO"
"32","3218","PUSHT KOH","PUSHT KOH","NO"
"32","3219","KOHE ZOR","KOHE ZOR","NO"
"32","3220","ZAWOL","ZAWOL","NO"
"33","3301","FARAH","FARAH","YES"
"33","3302","PUSHTROD","PUSHTROD","NO"
"33","3303","KHAK SAFID","KHAK SAFID","NO"
"33","3304","QALAYE KAH","QALAYE KAH","NO"
"33","3305","SHIBKOH","SHIBKOH","NO"
"33","3306","BALABLOK","BALABLOK","NO"
"33","3307","ANARDARA","ANARDARA","NO"
"33","3308","BAKWA","BAKWA","NO"
"33","3309","LASH JUWAYN","LASH JUWAYN","NO"
"33","3310","GULESTAN","GULESTAN","NO"
"33","3311","PURCHAMAN","PURCHAMAN","NO"
"34","3401","ZARANJ","ZARANJ","YES"
"34","3402","KANG","KANG","NO"
"34","3403","CHAKHANSOR","CHAKHANSOR","NO"
"34","3404","CHAR BURJAK","CHAR BURJAK","NO"
"34","3405","KHASHROD","KHASHROD","NO"
"34","3406","DELARAM","DELARAM","NO"
