PC,PS,Type_Of_Station,Candidate,Vote,Total_Invalid_Votes,DistrictID,District_EnglishName,Province_EnglishName,ProvinceId,Invalidated,Gender,PoliticalPartyId,VoterID,CandidateID
1304028,2,M,2,2,0,71,WAIGAL,Nooristan,13,FALSE,F,1,100980010,100980010
1301002,3,F,17,13,4,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,8364004,8364004
1302013,3,F,14,43,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795210,5795210
1302015,2,M,11,8,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,101050508,101050508
1302011,2,M,20,13,3,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795204,5795204
1302018,2,M,14,73,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795210,5795210
1302015,1,M,7,7,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795206,5795206
1304037,1,M,13,121,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795212,5795212
1304037,3,F,13,99,2,71,WAIGAL,Nooristan,13,FALSE,M,1,5795212,5795212
1302013,1,M,3,9,90,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795209,5795209
1305044,1,M,9,5,0,72,WAMA,Nooristan,13,FALSE,F,1,5795202,5795202
1305045,1,M,10,8,38,72,WAMA,Nooristan,13,FALSE,F,1,5795201,5795201
1301006,2,M,14,15,3,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795210,5795210
1305043,1,M,3,31,11,72,WAMA,Nooristan,13,FALSE,M,1,5795209,5795209
1302013,3,F,20,128,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795204,5795204
1304038,3,F,20,35,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795204,5795204
1305042,1,M,5,28,0,72,WAMA,Nooristan,13,FALSE,F,1,5795211,5795211
1302017,1,M,14,44,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795210,5795210
1302017,3,F,6,58,3,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795203,5795203
1305044,1,M,20,96,0,72,WAMA,Nooristan,13,FALSE,M,1,5795204,5795204
1302017,3,F,2,59,3,69,NOOR GRAM,Nooristan,13,FALSE,F,1,100980010,100980010
1305045,1,M,18,26,38,72,WAMA,Nooristan,13,FALSE,F,1,5795207,5795207
1302017,1,M,2,56,4,69,NOOR GRAM,Nooristan,13,FALSE,F,1,100980010,100980010
1305042,1,M,4,0,0,72,WAMA,Nooristan,13,FALSE,F,1,6367327,6367327
1302012,1,M,11,10,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,101050508,101050508
1302019,3,F,20,6,1,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795204,5795204
1302015,3,F,10,9,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795201,5795201
1305045,2,F,2,90,79,72,WAMA,Nooristan,13,FALSE,F,1,100980010,100980010
1304038,3,F,9,1,0,71,WAIGAL,Nooristan,13,FALSE,F,1,5795202,5795202
1305042,1,M,6,9,0,72,WAMA,Nooristan,13,FALSE,F,1,5795203,5795203
1302018,1,M,4,5,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,6367327,6367327
1301001,2,M,14,20,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795210,5795210
1302017,1,M,13,123,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795212,5795212
1304028,2,M,10,19,0,71,WAIGAL,Nooristan,13,FALSE,F,1,5795201,5795201
1302011,3,F,6,20,3,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795203,5795203
1301001,1,M,14,26,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795210,5795210
1302015,3,F,17,143,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8364004,8364004
1304028,1,M,14,21,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795210,5795210
1301006,2,M,15,1,3,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795213,5795213
1308066,1,M,11,0,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,101050508,101050508
1305042,2,F,8,0,5,72,WAMA,Nooristan,13,FALSE,M,1,5795205,5795205
1308066,7,F,13,0,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795212,5795212
1302015,1,M,13,220,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795212,5795212
1302015,3,F,13,86,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795212,5795212
1301006,3,F,20,18,6,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795204,5795204
1308066,7,F,12,0,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5139791,5139791
1305042,2,F,3,0,5,72,WAMA,Nooristan,13,FALSE,M,1,5795209,5795209
1301001,1,M,20,19,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795204,5795204
1301001,1,M,5,25,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795211,5795211
1301002,3,F,13,54,4,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795212,5795212
1302013,1,M,13,22,90,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795212,5795212
1304028,3,F,13,92,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795212,5795212
1302018,2,M,13,105,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795212,5795212
1304038,2,M,13,86,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795212,5795212
1304028,1,M,20,30,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795204,5795204
1302014,1,M,20,10,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795204,5795204
1302015,1,M,6,300,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795203,5795203
1308066,1,M,15,0,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795213,5795213
1305042,1,M,11,0,0,72,WAMA,Nooristan,13,FALSE,M,1,101050508,101050508
1308066,7,F,6,240,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,5795203,5795203
1301001,2,M,5,23,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795211,5795211
1304028,2,M,7,18,0,71,WAIGAL,Nooristan,13,FALSE,F,1,5795206,5795206
1302015,3,F,19,25,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8337640,8337640
1305042,1,M,10,0,0,72,WAMA,Nooristan,13,FALSE,F,1,5795201,5795201
1308066,6,F,20,98,1,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795204,5795204
1308066,7,F,9,0,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,5795202,5795202
1304028,2,M,17,21,0,71,WAIGAL,Nooristan,13,FALSE,M,1,8364004,8364004
1304028,3,F,20,31,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795204,5795204
1302014,1,M,5,0,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795211,5795211
1304038,3,F,6,100,0,71,WAIGAL,Nooristan,13,FALSE,F,1,5795203,5795203
1302012,2,M,10,2,2,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795201,5795201
1302012,2,M,2,4,2,69,NOOR GRAM,Nooristan,13,FALSE,F,1,100980010,100980010
1302012,1,M,19,15,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8337640,8337640
1305042,2,F,7,2,5,72,WAMA,Nooristan,13,FALSE,F,1,5795206,5795206
1302012,2,M,20,4,2,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795204,5795204
1302015,3,F,20,10,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795204,5795204
1302011,2,M,6,3,3,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795203,5795203
1308065,1,M,19,1,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,8337640,8337640
1308066,7,F,3,0,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795209,5795209
1305045,2,F,9,77,79,72,WAMA,Nooristan,13,FALSE,F,1,5795202,5795202
1302016,1,M,4,6,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,6367327,6367327
1302013,1,M,2,1,90,69,NOOR GRAM,Nooristan,13,FALSE,F,1,100980010,100980010
1302019,3,F,3,1,1,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795209,5795209
1302011,3,F,4,17,3,69,NOOR GRAM,Nooristan,13,FALSE,F,1,6367327,6367327
1305042,2,F,5,6,5,72,WAMA,Nooristan,13,FALSE,F,1,5795211,5795211
1301001,1,M,10,22,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795201,5795201
1301006,3,F,7,4,6,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795206,5795206
1304028,1,M,7,20,0,71,WAIGAL,Nooristan,13,FALSE,F,1,5795206,5795206
1302013,3,F,18,1,4,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795207,5795207
1302013,3,F,13,9,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795212,5795212
1304038,3,F,13,154,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795212,5795212
1304032,3,F,12,0,2,71,WAIGAL,Nooristan,13,FALSE,M,1,5139791,5139791
1302011,1,M,3,2,7,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795209,5795209
1305042,2,F,17,64,5,72,WAMA,Nooristan,13,FALSE,M,1,8364004,8364004
1302013,3,F,19,81,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8337640,8337640
1305042,2,F,15,0,5,72,WAMA,Nooristan,13,FALSE,M,1,5795213,5795213
1302014,1,M,2,1,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,100980010,100980010
1304037,1,M,14,35,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795210,5795210
1302016,1,M,12,1,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5139791,5139791
1302012,1,M,12,2,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5139791,5139791
1302015,1,M,2,7,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,100980010,100980010
1302019,3,F,7,68,1,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795206,5795206
1304028,1,M,10,1,0,71,WAIGAL,Nooristan,13,FALSE,F,1,5795201,5795201
1301009,2,M,10,1,3,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795201,5795201
1301001,2,M,7,29,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795206,5795206
1302011,3,F,11,55,3,69,NOOR GRAM,Nooristan,13,FALSE,M,1,101050508,101050508
1301001,1,M,12,7,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5139791,5139791
1302013,3,F,17,27,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8364004,8364004
1302012,2,M,11,40,2,69,NOOR GRAM,Nooristan,13,FALSE,M,1,101050508,101050508
1302018,2,M,17,122,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8364004,8364004
1304028,3,F,17,24,0,71,WAIGAL,Nooristan,13,FALSE,M,1,8364004,8364004
1308066,1,M,3,16,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795209,5795209
1304037,3,F,3,116,2,71,WAIGAL,Nooristan,13,FALSE,M,1,5795209,5795209
1304032,3,F,7,20,2,71,WAIGAL,Nooristan,13,FALSE,F,1,5795206,5795206
1304028,3,F,4,6,0,71,WAIGAL,Nooristan,13,FALSE,F,1,6367327,6367327
1305042,1,M,2,108,0,72,WAMA,Nooristan,13,FALSE,F,1,100980010,100980010
1304032,3,F,19,0,2,71,WAIGAL,Nooristan,13,FALSE,M,1,8337640,8337640
1301001,1,M,4,19,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,6367327,6367327
1305045,1,M,20,126,38,72,WAMA,Nooristan,13,FALSE,M,1,5795204,5795204
1304028,3,F,5,99,0,71,WAIGAL,Nooristan,13,FALSE,F,1,5795211,5795211
1304028,1,M,2,1,0,71,WAIGAL,Nooristan,13,FALSE,F,1,100980010,100980010
1302016,3,F,7,17,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795206,5795206
1302015,2,M,13,298,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795212,5795212
1301001,2,M,20,24,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795204,5795204
1302015,1,M,20,10,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795204,5795204
1305043,1,M,13,0,11,72,WAMA,Nooristan,13,FALSE,M,1,5795212,5795212
1304028,3,F,14,29,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795210,5795210
1302019,3,F,4,55,1,69,NOOR GRAM,Nooristan,13,FALSE,F,1,6367327,6367327
1302018,2,M,20,76,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795204,5795204
1301006,2,M,3,34,3,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795209,5795209
1302016,1,M,19,12,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8337640,8337640
1302018,3,F,17,56,1,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8364004,8364004
1305043,2,F,14,83,6,72,WAMA,Nooristan,13,FALSE,M,1,5795210,5795210
1308066,1,M,5,0,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,5795211,5795211
1301001,1,M,17,379,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,8364004,8364004
1301006,3,F,5,17,6,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795211,5795211
1302014,2,M,2,2,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,100980010,100980010
1305043,1,M,18,1,11,72,WAMA,Nooristan,13,FALSE,F,1,5795207,5795207
1305043,2,F,13,231,6,72,WAMA,Nooristan,13,FALSE,M,1,5795212,5795212
1301001,1,M,13,20,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795212,5795212
1308065,1,M,9,44,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,5795202,5795202
1305045,1,M,12,1,38,72,WAMA,Nooristan,13,FALSE,M,1,5139791,5139791
1301009,2,M,6,89,3,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795203,5795203
1305042,1,M,15,0,0,72,WAMA,Nooristan,13,FALSE,M,1,5795213,5795213
1304028,2,M,12,18,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5139791,5139791
1302017,1,M,11,0,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,101050508,101050508
1302014,1,M,17,0,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8364004,8364004
1304032,3,F,13,105,2,71,WAIGAL,Nooristan,13,FALSE,M,1,5795212,5795212
1301001,2,M,4,18,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,6367327,6367327
1304032,3,F,4,2,2,71,WAIGAL,Nooristan,13,FALSE,F,1,6367327,6367327
1302018,3,F,4,39,1,69,NOOR GRAM,Nooristan,13,FALSE,F,1,6367327,6367327
1305042,2,F,19,0,5,72,WAMA,Nooristan,13,FALSE,M,1,8337640,8337640
1302017,3,F,3,2,3,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795209,5795209
1302017,3,F,7,1,3,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795206,5795206
1302012,1,M,5,19,4,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795211,5795211
1304037,3,F,7,16,2,71,WAIGAL,Nooristan,13,FALSE,F,1,5795206,5795206
1302013,1,M,10,11,90,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795201,5795201
1304038,2,M,3,140,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795209,5795209
1302011,3,F,12,1,3,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5139791,5139791
1304038,3,F,4,20,0,71,WAIGAL,Nooristan,13,FALSE,F,1,6367327,6367327
1305042,2,F,6,37,5,72,WAMA,Nooristan,13,FALSE,F,1,5795203,5795203
1304037,3,F,5,100,2,71,WAIGAL,Nooristan,13,FALSE,F,1,5795211,5795211
1302016,3,F,10,15,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795201,5795201
1304037,3,F,10,22,2,71,WAIGAL,Nooristan,13,FALSE,F,1,5795201,5795201
1304028,1,M,3,157,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795209,5795209
1302014,2,M,19,89,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8337640,8337640
1301001,2,M,6,20,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795203,5795203
1301006,3,F,3,22,6,68,Provincial Center (Nooristan),Nooristan,13,FALSE,M,1,5795209,5795209
1308066,7,F,19,0,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,8337640,8337640
1304037,3,F,17,31,2,71,WAIGAL,Nooristan,13,FALSE,M,1,8364004,8364004
1308066,1,M,18,100,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,5795207,5795207
1302013,1,M,12,2,90,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5139791,5139791
1302011,1,M,14,5,7,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795210,5795210
1304037,3,F,14,41,2,71,WAIGAL,Nooristan,13,FALSE,M,1,5795210,5795210
1304038,2,M,20,39,0,71,WAIGAL,Nooristan,13,FALSE,M,1,5795204,5795204
1302018,3,F,13,79,1,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795212,5795212
1301006,2,M,5,45,3,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795211,5795211
1308066,7,F,10,0,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,5795201,5795201
1302015,2,M,6,229,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795203,5795203
