2018_IEC_province_code,2012_AGCHO_province_code,2010_IEC_province_code,2010_IEC_district_name_eng,2010_IEC_district_code,2012_AGCHO_district_name_eng,2012_AGCHO_district_code,2018_IEC_district_name_eng,2018_IEC_district_code,matched_to_2012_AGCHO_district_code,matched_to_2010_IEC_district_code,district_name_dari,district_name_pashto,alternate_dari_pashto,district_description_via_Map_Sync_Project
17,15,14,FAIZ ABAD,1401,Fayzabad,1501,Fayzabad,1701,1501,1401,فیض آباد,فیض آباد,,"Faiz Abad, Fayzabad.  (There is also a Faizabad district in Jowzjan.)"
17,15,14,YAFTAL PAYAN,1402,Yaftal-e-Sufla,1502,Yaftal-e-Sufla,1704,1502,1402,یفتل سفلی,يفتل سفلی,,"Yaftal-e-Sufla, Yaftal Payin, Yaftal-i-Paen, Lower Yaftal."
17,15,14,URGO,1403,Argo,1503,Argo,1702,1503,1403,ارگو,ارگو,,"Argo, Orgu."
17,15,14,DARAYEM,1404,Darayem,1510,Darayem,1707,1510,1404,درایم,درايم,,"Darayim, Darayem, Darah Aim."
17,15,14,KHASH,1405,Khash,1511,Khash,1705,1511,1405,خاش,خاش,,Khash.
17,15,14,JURM,1406,Jorm,1521,Jorm,1710,1521,1406,جرم,جرم,,"Jurm, Jorm, Juram."
17,15,14,WARDOUJ,1407,Warduj,1522,Warduj,1716,1522,1407,وردوج,وردوج,,"Wardooj, Warduj."
17,15,14,BAHARAK (BADAKHSHAN),1408,Baharak,1512,Baharak,1706,1512,1408,بهارک,بهارک,,"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)"
17,15,14,SHUHADA,1409,Shuhada,1513,Shuhada,1712,1513,1409,شهدا,شهدا,,"Shuhada, Shohada."
17,15,14,KOHISTAN (BADAKHSHAN),1410,Kohestan,1505,Kohestan,1708,1505,1410,کوهستان,کوهستان,,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)"
17,15,14,YAWAN,1411,Yawan,1507,Yawan,1709,1507,1411,یاوان,ياوان,,Yawan.
17,15,14,SHAHR-E-BUZURG,1412,Shahr-e-Buzorg,1508,Shahr-e-Buzorg,1713,1508,1412,شهربزرگ,شهربزرگ,,"Shahri Buzurg, Shahr-e-Buzorg, Shahr-e Buzurg, Shar-e-Buzurg."
17,15,14,KISHM,1413,Keshem,1518,Keshem,1715,1518,1413,کشم,کشم,,"Kishim, Keshem, Keshm."
17,15,14,TAGAB (KESHM BALA),1414,Tagab,1519,Tagab,1717,1519,1414,تگاب,تگاب,,"Tagab, Tagau."
17,15,14,TASHKAN,1415,Teshkan,1509,Teshkan,1711,1509,1415,تشکان,تشکان,,"Tashkan, Teshkan."
17,15,14,KARAN-O-MENJAN,1416,Koran wa Monjan,1526,Koran wa Monjan,1726,1526,1416,کرا ن ومنجان,کرا ن و منجان,,"Kiran Wa Menjan, Kirn wa Manjan, Koran o Monjan."
17,15,14,ZEBAK,1417,Zebak,1527,Zebak,1725,1527,1417,زیباک,زيباک,,"Zebak, Zibak."
17,15,14,ESHKASHAM,1418,Eshkshim,1523,Eshkashem,1723,1523,1418,اشکاشم,اشکاشم,,"Eshkashim, Ishkashem.  (Eshkashim is sometimes confused with Eshkamish district of Takhar.)"
17,15,14,WAKHAN,1419,Wakhan,1528,Wakhan,1728,1528,1419,واخان,واخان,,Wakhan.
17,15,14,SHEGHNAN,1420,Shighnan,1514,Shighnan,1719,1514,1420,شیغنان,شيغنان,,Shighnan.
17,15,14,ARGHANJ KHAWA,1421,Arghanjkhwa,1504,Arghanj Khwa,1703,1504,1421,ارغنجخواه,ارغنجخو,,"Arghanj Khwah, Arghanjkhwa."
17,15,14,RAGHISTAN,1422,Raghestan,1506,Raghestan,1714,1506,1422,راغستان,راغستان,,"Raghistan, Ragh.  (There is also a Registan in Kandahar.)"
17,15,14,KHWAHAN,1423,Khwahan,1517,Khwahan,1720,1517,1423,خواهان,خواهان,,Khwahan.
17,15,14,KOF AB,1424,Kofab,1516,Kofab,1721,1516,1424,کوف آب,کوف آب,,"Kufab, Kofab, Kuf Ab."
17,15,14,YAMGAN (GRIWAN),1425,Yamgan,1520,Yamgan,1718,1520,1425,یمگان,يمگان,گیروان,"Yamgan, Girwan, Yumgan,."
17,15,14,DARWAZE-E PAYAN NUSAY,1426,Darwaz,1524,Darwaz-e-Payin,1722,1524,1426,درواز پائین,درواز پائين,نيسی,"Darwaz-e-Payin, Darwas-e Pa'in, Nesay, Nesai, Lower Darwaz.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)"
17,15,14,DARWAZE BALA MAMAI,1427,Darwaz-e-Balla,1515,Darwaz,1727,1515,1427,دروازبالا,دروازبالا,ما می,"Darwaz-e-Bala, Upper Darwaz, Mamai, Mam May.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)"
17,15,14,SHEIKE,1428,Shaki,1525,Shaki,1724,1525,1428,شکی,شکی,,"Shiki, Shaki, Shakai."
31,29,23,PROVINCIAL CENTER (QALA-I-NOW),2301,Qala-e-Naw,2901,Qala-e-Naw,3101,2901,2301,قلعه نو,قلعه نو,,"Qala-i-Now, Qala-e-Naw, Qal'ah-ye Now."
31,29,23,MUQUR (BADGHIS),2302,Muqur,2902,Muqur,3103,2902,2302,مقر,مقر,,"Muqur, Moqur, Moqor.  (There is also a Moqur district in Ghazni.)"
31,29,23,AB KAMARI,2303,Abkamari,2903,Ab Kamari,3102,2903,2303,آب کمری,آب کمری,,"Ab Kamari, Ab-e Kamari, Abkamari."
31,29,23,QADIS,2304,Qadis,2904,Qades,3104,2904,2304,قادس,قادس,,Qadis.  (Some consider Dara-e Bom to be a district.  It is included in Qadis here.)
31,29,23,JAWAND,2305,Jawand,2905,Jawand,3106,2905,2305,جوند,جون,,"Jawand, Jwand."
31,29,23,GHORMACH,2306,Ghormach,2907,Ghormach,3107,2907,2306,غور ماچ,غور ماچ,,"Ghormach, Ghormuch.  (All of the district sets presented here list Ghormach in Badghis.  The IDLG, along with many news sources, report it as part of Faryab.) "
31,29,23,MURGHAB,2307,Balamurghab,2906,Murghab,3105,2906,2307,یمگان,مرغاب,بالا مرغاب,"Murghab, Bala Murghab, Balamerghab."
9,9,16,PROVINCIAL CENTER (PUL-I-KHUMRI),1601,Pul-e-khumri,901,Pul-e-Khumri,901,901,1601,پلخمری,پلخمری,,"Pul-i-Khumri, Pul-e-Khumri."
9,9,16,BAGHLAN JADEED,1602,Baghlan-e-Jadid,902,Baghlan-e-Jadid,905,902,1602,بغلان جدید,بغلان جدي,,"Baghlan-e-Jadeed, Baghlani Markazi, Baghlan Markazi.  (There was once a ""Baghlan"" district.  It is now part of what all of these sets report as Baghlan-e-Jadeed.)"
9,9,16,DHANA-I-GHORI,1603,Dahana-e-Ghori,903,Dahana-e-Ghori,902,903,1603,دهنه غوری,دهنه غوری,,"Dahana-e-Ghuri, Dahanah-ye Ghori, Dahana-e-Ghori, Dand-e Ghor."
9,9,16,DOOSHI,1604,Doshi,904,Doshi,903,904,1604,دوشی,دوشی,,"Dushi, Doshi."
9,9,16,KHENJAN,1605,Khenjan,907,Khinjan,906,907,1605,خنجان,خنجان,,"Khinjan, Khenjan."
9,9,16,BANO ANDARAB,1606,Andarab,908,Andarab,907,908,1606,اندراب,اندراب,,"Andarab, Bano Andarab."
9,9,16,NAHREEN,1607,Nahrin,905,Nahren,904,905,1607,نهرین,نهرين,,"Nahreen, Nahrin, Narine."
9,9,16,BORKA,1608,Burka,910,Borka,910,910,1608,برکه,برکه,,"Burka, Barka."
9,9,16,TALA-O-BARFAK,1609,Tala wa Barfak,906,Tala Wa Barfak,911,906,1609,تاله وبر فک,تاله وبر فک,,"Tala Wa Barfak, Talah wa Barfak, Tala Barfak."
9,9,16,PUL-I-HESAR,1610,Pul-e-Hesar,911,Pul-e-Hisar,912,911,1610,پل حصار,پل حصار,,"Pul-e-Hisar, Pul-i Hesar, Pul-e Hesar, Pule Hisar."
9,9,16,DEHE SALAH,1611,Dehsalah,912,Deh Salah,908,912,1611,ده صلاح,ده صلاح,,"Deh Salah, Dehsalah, Deh-e Salah."
9,9,16,JELGA (KHWAJA HEJRAN),1612,Khwajahejran,909,Khwaja Hijran,909,909,1612,خواجه هجران,خواجه هجران,جلگه,"Khwaja Hejran, Jalga, Khwajahejran, Khwajah Higran."
9,9,16,KHOST-O-FERENG,1613,Khost Wa Fereng,913,Khost Wa Firing,913,913,1613,خوست و فرنگ,خوست و فرنگ,,"Khost Wa Firing, Khost Wa Fereng, Khost Ferent, Khost.  (Khost Wa Firing is not the same as Firing Wa Gharu of Baghlan.)"
9,9,16,FRENG-GHARO,1614,Fereng Wa Gharu,915,Firing Gharo,915,915,1614,فرنگ و غارو,فرنگ وغارو,,"Firing Wa Gharu, Fereng Wa Gharu, Farang wa Gharu, Farang."
9,9,16,GOZAR-GAHE-NOOR,1615,Guzargah-e-Nur,914,Guzargah-e-Nor,914,914,1615,گذرگاه نور,گذرگاه نور,,"Gozargah-e-Noor, Guzargah-e- Nur."
21,18,19,PROVINCIAL CENTER (MAZAR SHARIF),1901,Mazar-e-Sharif,1801,Mazar-e-Sharif,2101,1801,1901,مزار شریف,مزار شریف,,"Mazar-e-Sharif, Mazar-i-Sharif, Mazar."
21,18,19,DEHDADI,1902,Dehdadi,1806,Dehdadi,2103,1806,1902,دهدادی,دهدادی,,"Dehdadi, Dihdadi."
21,18,19,NAHR-E-SHAHI,1903,Nahr-e-Shahi,1802,Nahr-e-Shahi,2102,1802,1903,نهر شاهی,نهر شاهی,,"Nahri Shahi, Nahr-e Shahi."
21,18,19,MARMOL,1904,Marmul,1808,Marmul,2105,1808,1904,مارمل,مارمل,,Marmul.
21,18,19,KHOLM,1905,Khulm,1809,Khulm,2110,1809,1905,خلم,خلم,,"Khulm, Khulam, Tashqurghan, Tash Qurghan."
21,18,19,KALDAR,1906,Kaldar,1810,Kaldar,2113,1810,1906,کلدار,کلدار,,Kaldar.  (All three sets reported recognize Sharak-e-Hayratan as having been split from Kaldar.  The CSO 421 set (not listed here) shows Sharak-e-Hayratan as part of Kaldar.)
21,18,19,SHORTAPA,1907,Shortepa,1803,Shortepa,2112,1803,1907,شورتیپه,شورتيپى,,"Shortepa, Shortepah, Shortipa."
21,18,19,DAWLATABAD,1908,Dawlatabad,1804,Dawlatabad,2109,1804,1908,دولت اباد,دولت آبا,,"Dawlat Abad, Dawlatabad, Dolatabad.  (There is also a Dawlatabad in Faryab, and a Dawlatshah in Laghman, and a Dawlatyar in Ghor.)"
21,18,19,BALKH,1909,Balkh,1805,Balkh,2106,1805,1909,بلخ,بلخ,,Balkh.
21,18,19,CHARBOLAK,1910,Charbulak,1812,Char Bolak,2111,1812,1910,چار بولک,چار بولک,,"Char Bolak, Chahar Bulak, Charbulak."
21,18,19,CHAMTAL,1911,Chemtal,1813,Chimtal,2108,1813,1911,چمتال,چمتال,,"Chimtal, Chemtal, Tchimtal."
21,18,19,SHOLGARA,1912,Sholgareh,1814,Sholgareh,2107,1814,1912,شولگره,شولگرى,,"Sholgara, Sholgarah, Shulgara, Shulgar."
21,18,19,CHARKENT,1913,Charkent,1807,Char Kint,2104,1807,1913,چارکنت,چارکنت,,"Char Kent, Charkent, Charkint, Chahar Kent, Char Kant."
21,18,19,KOSHENDAH,1914,Keshendeh,1815,Kishindeh,2114,1815,1914,کشنده,کشندى,,"Kishindeh, Keshendeh, Kishindih."
21,18,19,ZAREE,1915,Zari,1816,Zari,2115,1816,1915,زاری,زاری,,"Zari, Zaray."
21,18,19,NA,NA,Sharak-e-Hayratan,1811,Sharak-e-Hayratan,2116,1811,1906,شرک حیرتان,شرک حیرتان,,"Sharak-e-Hairatan, Sharak-i-Hayratan.  (The 421 district set, not listed here, shows Sharak-e-Hairatan as part of Kaldar.)"
10,10,32,PROVINCE CENTER(MARKAZ-WOLLAYAT),3201,Bamyan,1001,Bamyan,1001,1001,3201,بامیان,بامیان,,"Bamyan, Bamian."
10,10,32,SHEBAR,3202,Shibar,1005,Shebar,1002,1005,3202,شیبر,شيبر,,"Shebar, Shibar, Shaybar, Shaibar."
10,10,32,SAIGHAN,3203,Sayghan,1002,Sayghan,1003,1002,3203,سیغان,سيغان,,"Saighan, Sayghan."
10,10,32,KOHMARD,3204,Kahmard,1006,Kahmard,1004,1006,3204,کهمرد,کهمر,,"Kahmard, Kohmard."
10,10,32,YAKAWULANG,3205,Yakawlang,1003,Yakawlang,1005,1003,3205,یکاولنگ,يکاولنگ,,"Yakawlang, Yakawlang No. 1, Yakawlang Hesa-i Awal, Yakawland Hise Awal.  (The 399 and 407 sets show Yakawlang No. 2 as part of Yakawlang.)"
10,10,32,PANJAB,3206,Panjab,1004,Panjab,1006,1004,3206,پنجاب,پنجاب,,Panjab.
10,10,32,WARAS,3207,Waras,1007,Waras,1007,1007,3207,ورس,ورس,,Waras.
10,10,32,NA,NA,NA,NA,Yakawlang No. 2,1008,1003,3205,یکاولنگ ۲,يکاولنگ  ۲,یکاولنگ نمبر 2,"Yakawlang No. 2, Yakawlang Hesa-i-Doyem.  (The 399 and 407 sets show Yakawlang No. 2 as part of Yakawlang.  It is a temporary district in the 422 set.)"
24,22,34,DAIKONDI,3401,Nili,2201,Neli,2401,2201,3401,نیلی,نیلی,,"Nili, Layli."
24,22,34,SHAHRESTAN,3402,Shahrestan,2206,Shahristan,2402,2206,3402,شهرستان,شهرستان,,"Shahristan, Shahrestan."
24,22,34,MERAMOR,3403,Miramor,2209,Meramor,2406,2209,3403,میرامور,ميرامور,,"Miramor, Mir Amor."
24,22,34,ISHTRALI,3404,Ashtarlay,2202,Ashtarlay,2403,2202,3404,اشترلی,اشترلی,,"Ishterlai, Ashtarlay, Ishterli."
24,22,34,SANG-E-TAKHTBANDER,3405,Sang-e-Takht,2207,Sang-e-Takht,2407,2207,3405,سنگ تخت,سنگ تخت,,"Sang-e-Takht, Sangi Takht, Sang-e-Takht Bandar, Bandar."
24,22,34,KHADEU,3406,Khadir,2203,Khader,2404,2203,3406,خدیر,خدير,,"Khedir, Khadir."
24,22,34,KIJRAN,3407,Kajran,2208,Kajran,2408,2208,3407,کجران,کجران,,"Kejran, Kajran, Kajaran."
24,22,34,KITEE,3408,Kiti,2204,Keti,2405,2204,3408,گیتی,گيتی,,"Giti, Kiti, Gayti."
25,22,34,GEZAB,3409,Gizab,2205,Gezab,2507,2205,3409,گیزاب,چنارتو,,"Gizab, Gezab.  (The 399 AGCHO 2012 set and the 407 RS / USFOR-A set show Gizab as including Pato, and in Daikundi.  The 422 AGCHO / ARAZI set shows a rump Gizab, split from Patoo, in Urozgan.  It isn't clear how the Permanent 399 AGCHO / ARAZI means to define Gizab.    Its borders show the original Gizab, including Pato, in Daikundi, but it codes Gizab to Urozgan.  "
24,22,34,NA,NA,NA,NA,Patoo,2409,2205,3409,پاتو,پاتو,,"Patoo, Pato, Patu.  (Patoo is part of Gizab district in the 399 and 407 sets.  It is a ""temporary"" district in the 422 set.)"
33,33,25,PROVINCIAL CENTER (FARAH),2501,Farah,3101,Farah,3301,3101,2501,فراه,فراه,,Farah.
33,33,25,POSHT-I- ROOD,2502,Pushtrod,3105,Pushtrod,3302,3105,2502,پشت رود,پشت رود,,"Pushtrud, Pushtrod, Pusht-e Rod, Pusht Road, Poshtrud."
33,33,25,KHAK-I-SAFEID,2503,Khak-e-Safed,3104,Khak-e-Safed,3303,3104,2503,خاک سفید,خاک سفيد,,"Khak-i-Safed, Khak-e-Safed, Khak-i-Safid."
33,33,25,ANAR DARAH,2504,Anardara,3111,Anardara,3307,3111,2504,اناردره,اناردرى,,"Anar Dara, Anardara."
33,33,25,QALA-I-KAH,2505,Qala-e-Kah,3106,Qala-ye-Kah,3304,3106,2505,قلعه کاه,قلعۀ کاه,,"Qala-i-Kah, Qala-e-Kah, Qalah-e Kah Qul'ah-ye Kah, Pusht Koh."
33,33,25,SHEIB KOH,2506,Shibkoh,3107,Shebkoh,3305,3107,2506,شیب کوه,شيب کوه,,"Shibkoh, Shib Koh, Shayb Koh."
33,33,25,LASH JAWEEN,2507,Lash-e-Juwayn,3108,Lash-e-Juwayn,3309,3108,2507,لاش جو ین,لاش جوين,,"Lash-i-Juwayn, Lash-e-Juwayn, Lash wa Juwayn."
33,33,25,BAKWA,2508,Bakwa,3102,Bakwa,3308,3102,2508,بکواه,بکواه,,Bakwa.
33,33,25,BALA BLOOK,2509,Balabuluk,3103,Balabulok,3306,3103,2509,بالا بلوک,بالا بلوک,,"Bala Buluk, Bala Boluk, Balabuluk."
33,33,25,GULESTAN,2510,Gulestan,3109,Gulistan,3310,3109,2510,گلستان,گلستان,,"Gulistan, Gulestan."
33,33,25,PUR CHAMAN,2511,Purchaman,3110,Purchaman,3311,3110,2511,پرچمن,پرچمن,,"Pur Chaman, Purchaman, Parchaman."
29,28,22,PROVINCIAL CENTER (MAIMANA),2201,Maymana,2801,Maymana,2901,2801,2201,میمنه,میمنه,,"Maimana, Maymana, Maimanah."
29,28,22,PASHTOON KOTT,2202,Pashtunkot,2803,Pashton Kot,2902,2803,2202,پشتون کوت,پشتون کوټ,,"Pashtun Kot, Pashtunkot."
29,28,22,KHUWAJA SABZ POSHE WALI,2203,Khwajasabzposh,2802,Khwaja Sabzposh,2903,2802,2203,خواجه سبزپوش,خواجه سبز پوش ولي,,"Khwaja Sabz Posh, Khwajasabzposh."
29,28,22,ALMAR,2204,Almar,2805,Almar,2904,2805,2204,المار,المار,,Almar.
29,28,22,QAISAR,2205,Qaysar,2806,Qaysar,2907,2806,2205,قیصار,قيصار,,"Qaisar, Qaysar."
29,28,22,KOHISTAN (FARYAB),2206,Kohestan,2807,Kohistan,2910,2807,2206,کوهستان,کوهستان,,"Kohistan, Lowlash,.  (There is also a Kohistanat in Saripul, and two Kohistans in Badakhshan and Kapisa.)"
29,28,22,GARZIWAN,2207,Garziwan,2808,Garzewan,2908,2808,2207,گرزیوان,گرزيوان,,"Gurziwan, Garziwan, Gorzivan."
29,28,22,BALCHERAGH,2208,Bilcheragh,2809,Bilcheragh,2905,2809,2208,بلچراغ,بلچراغ,,"Bilchiragh, Bilcheragh, Bal Chiragh, Belcheragh."
29,28,22,SHERIN TAGAB,2209,Shirintagab,2804,Shiren Tagab,2906,2804,2209,شرین تگاب,شرين تگاب,,"Shirin Tagab, Shirintagab, Sherin Tagab, Sherin Tagau.  (There is also a Tagab in Kapisa and in Badakhshan.)"
29,28,22,DAWLAT ABAD,2210,Dawlatabad,2810,Dawlatabad,2909,2810,2210,دولت آباد,دولت آباد,,"Dawlat Abad, Dawlatabad, Dowlatabad..  (There is also a Dawlatabad in Balkh, and a Dawlatshah district in Laghman, and a Dawlatyar district in Ghor.)"
29,28,22,QARAM QUL,2211,Qaramqol,2812,Qaramqol,2911,2812,2211,قرم قل,قرم قل,,"Qaram Qul, Qaramqol."
29,28,22,KHAN-E-CHARBAGH,2212,Khan-e-Char Bagh,2813,Khan-e-Char Bagh,2914,2813,2212,خان چهارباغ,خان چارباغ,,"Khani Charbagh, Khan-e-Char Bagh. Khan-e Chahr Bagh, Khan Chahr Bagh."
29,28,22,ANDKHOI,2213,Andkhoy,2811,Andkhoy,2913,2811,2213,اندخوی,اندخوی,,"Andkhoy, Andkhoi."
29,28,22,QURGHAN,2214,Qorghan,2814,Qurghan,2912,2814,2214,قرغان,قرغان,,"Qurghan, Qorghan."
11,11,6,PROVINCIAL CENTER (GHAZNI),601,Ghazni,1101,Ghazni,1101,1101,601,غزنی,غزنی,,Ghazni.
11,11,6,DAH YAK,602,Dehyak,1106,Dehyak,1105,1106,602,ده یک,ده يک,,"Deh Yak, Dehyak, Dih Yak."
11,11,6,ZANA KHAN,603,Zanakhan,1107,Zanakhan,1108,1107,603,زنخان,زنخان,,"Zanakhan, Zana Khan."
11,11,6,KHOWJA OMERY,604,Khwajaumari,1102,Khwaja Umari,1103,1102,604,خواجه عمری,خواجه عمری,,"Khwaja Omari, Khwajah Omari, Khwajaumari, Khwaja Umari."
11,11,6,RASHIDAN,605,Rashidan,1108,Rashedan,1109,1108,605,رشیدان,رشيدان,,Rashidan.
11,11,6,SHAHIDM-WALI-KHOGYANI,606,Walimuhammad-e-Shahid,1103,Walemuhammad-e-Shahed,1102,1103,606,ولی محمدشهید,د ولی محمد شهيد,خوگیانی,"Khugyani, Khogiani, Khoghiani, Wali Muhammad Shahid, Wali Muhammad-e-Shahid .  (There is also a Khugyani in Nangarhar.)"
11,11,6,JAGHATOO,607,Jaghatu,1109,Jaghato,1106,1109,607,جغتو,جغتو,,"Jaghatu, Jaghato, Jighatu, Bahrami Shahid, Bahram-e Shahid, Waeez Shahid, Wais Shahid.  (There is also a Jaghatu in Wardak province.)"
11,11,6,WAGHAZ,608,Waghaz,1104,Waghaz,1104,1104,608,واغظ,واغظ,,Waghaz.
11,11,6,QARA BAGH,609,Qarabagh,1110,Qarabagh,1111,1110,609,قره باغ,قره باغ,,"Qara Bagh, Qarabagh, Qarah Bagh.  (There is also a Qara Bagh district of Kabul.)"
11,11,6,GIRO,610,Giro,1111,Gero,1112,1111,610,گیرو,گيرو,,Giro.
11,11,6,ANDER,611,Andar,1105,Andar,1107,1105,611,اندر,اندړ,,"Andar, Shilgar, Shelgar,."
11,11,6,NAWUR,612,Nawur,1112,Nawur,1110,1112,612,ناور,ناور,,Nawur.
11,11,6,AJRESTAN,613,Ajrestan,1116,Ajristan,1118,1116,613,اجرستان,اجرستان,,"Ajristan, Daya, Ajrestan,."
11,11,6,MALESTAN,614,Malestan,1117,Malistan,1116,1117,614,مالستان,مالستان,,"Malistan, Malestan."
11,11,6,JAGHORI,615,Jaghuri,1113,Jaghori,1114,1113,615,جاغوری,جاغوری,,"Jaghuri, Jaghori, Jaghouri."
11,11,6,MUQUR (GHAZNI),616,Muqur,1114,Muqur,1115,1114,616,مقر,مقر,,"Muqur, Moqor, Muqur, Moqur, Muqer."
11,11,6,AB BAND,617,Abband,1115,Ab Band,1113,1115,617,آب بند,اب بن,,"Ab Band, Abband, Auband."
11,11,6,GELLAN,618,Gelan,1118,Gelan,1117,1118,618,گیلان,گيلان,,"Gelan, Gilan, Janda (the distict center)."
11,11,6,NAWA,619,Nawa,1119,Nawa,1119,1119,619,ناوه,ناوي,,"Nawa, Nawah.  (There is also a Nawa (aka Nawa-i-Barakzai) in Helmand, and a Nawur district in Ghazni.)"
23,21,31,PROVINCIAL CENTER (CHAGHCHARAN),3101,Chaghcharan,2101,Ferozkoh,2301,2101,3101,چغچران,چغچران,فیروزکوه,"Chighcheran, Chaghcheran, Feroz Koh, Ferozkoh.  (Chighcheran includes parts of what some call ""Murghab"" district. There is also a Murghab district in Badghis.)"
23,21,31,DOWLATYAR,3102,Dawlatyar,2104,Dawlatyar,2303,2104,3102,دولتیار,دولتيار,,"Dawlatyar, Dolatyar, Dawlat Yar.  (There is also a Dawlatshar in Laghman, a Dawlat Abad in Faryab, and a Dawlatabad in Balkh.)"
23,21,31,CHAHAR SADA,3103,Charsada,2102,Charsada,2304,2102,3103,چارصده,چارصدى,,"Char Sada, Chahar Sadah, Charsadda."
23,21,31,SHAHRAK,3104,Shahrak,2105,Shahrak,2306,2105,3104,شهرک,شهرک,,Shahrak.
23,21,31,DULEENA,3105,DoLayna,2103,DoLayna,2302,2103,3105,دولینه,دولينه,,"Duleena, DoLayna, Do Lainah, Dawlina."
23,21,31,PASSABAND,3106,Pasaband,2107,Pasaband,2305,2107,3106,پسا بند,پسا بن,,Pasaband.
23,21,31,LAL-O-SARJANGAL,3107,Lal wa Sarjangal,2108,Lal Wa Sarjangal,2307,2108,3107,لعل و سر جنگل,لعل و سر جنگل,,"Lal Wa SarJangal, La'l wa SarJangal."
23,21,31,TOLAK,3108,Tolak,2109,Tolak,2309,2109,3108,تولک,تولک,,"Tulak, Tolak."
23,21,31,SAGHAR,3109,Saghar,2110,Saghar,2310,2110,3109,ساغر,ساغر,,"Saghar, Sagher."
23,21,31,TEYORA,3110,Taywarah,2106,Taywarah,2308,2106,3110,تیوره,تيورى,,"Taywara, Taywarah, Taiwara, Taywaraha."
30,32,27,PROVINCIAL CENTER (LASHKAR GAH),2701,Lashkargah,3201,Lashkargah,3001,3201,2701,لشکر گاه,لشکر گاه,,"Lashkargah, Lashkar Gah."
30,32,27,NAHRE SARAJ,2702,Nahr-e-Saraj,3202,Nahr-e-Saraj,3004,3202,2702,نهر سراج,نهر سراج,ګرشک‎,"Nahr-i-Saraj, Gerishk, Greshk."
