province_code,candidate_id,candidate_name_eng
1,11245333,Abdul Nasir Nadiri
1,81415,Hayatullah Habib
1,3655524,Eng. Muhammad Dawood Tughyan
1,346616,Muhammad Asif Barnayar
1,704286,Diploma Eng. Farzana Adib Zamani
1,618568,Abdullah Nariwal
1,3616579,Kubra Shirzad
1,627234, Hafizullah Barikzai
1,7408154,Shaima Kharoti
1,665615, Puhanduy Ustad Muhammad Yousuf
1,3466611,Master Ghulam Mustafa Faizi
1,665864, Alhaj Muhammad Haroon Jalali
1,5765382,Alhaj Khuwaja Ghulam Jaylani Shibl
1,707512, Ghulam Sakhi Omidwar
1,3883298, Alhaj Dr. Sayed Raza Elham
1,713650,Fariba Charkhi
1,5751047, Sayed Ismail Sukhanwar Zada
1,720771, Muhammad Mahdi Mesam
1,3664606,Nabi Khalilli
1,726040,Muhammad Emal Kharoti
1,980064,Sayed Shir Aqa Rohani
1,798530,Hajji Roz‐ud‐Din
1,6359966,Eng. Muhammad Fazal Watan Dost
1,904290,Puhanmal Diploma  Eng. Muhammad Aziz Amini
1,5765432,Sanam Tamkin Ghairat
1,926537,Muhammad Hakim Tursan
1,3466696,Abdul Zamir Kabuli
1,939974,Hajji Sayed Mahmood Mukhlis
1,5423957,Alhaj Mawlawi Faqir Muhammad Mangal
1,948420,Ustad Nafisa Hanif Khush Naseeb
1,3806125, Safiullah Sarjang
1,957331,Malalay Sofi Tawhid
1,5765331,Huma Muhammadi
1,964917, Fahima Sarfaraz
1,5569480, Turpekai Zia
1,965730,Mualim Ruqia Ihsan Timoori
1,5765405,Eng. Razia Naemi
1,967383,Hajji Obaidullah Rahmani
1,6371192, Sona Sahar
1,981488,Hajji Sikandar Farji
1,4896118, Kafil Nazar Muhammad
1,985759,Hasina Sahak
1,5732240,Ahmad Tameem Rahyaab
1,988316, Muhammad Rustam Faqirzada
1,3466691,General Sayed Ismail Qibadi
1,990359,Noor Ahmad Chardhiwal
1,5507599,Malika Sadat
1,990384,Alhaj Malik Taaj Muhammad
1,13420310, Bibi Haji Nafas Jan
1,992914, Muhammad Ihsan
1,5516722,Eng. Muhammad Salim Qayumi
1,993605, Dr. Faheem
1,3443958, Shamsullah Javid
1,996195,Abdul Mateen Muhammad Khil
1,3466681,Nabi Haikal
1,1017429, Dr. Abdul Khalil Khakzad
1,6475120, Saboor Shams
1,1044582,Muhammad Aqa Nazari
1,14346501,Shakila Naveed
1,1069556, Ustad Shireen Taaj Rahemi
5,1553204,Hajji Muhammad Akbar Stanikzai
5,1553217,Dr. Rahila Nadir
1,11021649, Khalil Ruman
1,2274719, Fatima Naziri
1,6212201,Dr. Minisa Shirzada Hassan
1,3011960,Farida Tarana
1,4792718,Masooma Tusali
1,3046974, Latif Zhuwandai
1,4628234, Hussain Rahmati
1,3466601, Hajji Muhammad Amin Perozi
1,3466694,Alhaj Hidayatullah Muhammadi
1,3466613, Sayed Enayatullah Hufyani
1,5976887, Wakeel Ghulam Raza Ahmadi
1,3466622,Muhammad Zia Yari
1,7832834, Shila Saba
1,3466634,Sayed Naiem Idrees Kashifi Sanglakhi
1,7049270,Razia
1,3466639,Dr. Abdul Satar Stanikzai
1,5765406,Shahla Maihan Dost
1,3466655, Muhammad Nawab Tuta khil
1,5765348,Eng. Abdullah  Kandahari Munajim Afghanistan
1,3466658,Eng. Zalmai Footballist
1,11380005,Diploma Eng. Abdul Wakeel Azizi
1,3466659,Sayed Yaqoob Hushmand Fararudi
1,5765367,Eng. Abdul Wakeel Sadaat
1,3466671,Mir Ahmad Niazmand
1,5139623,Hajji Muhammad Ashraf Jabarkhil
1,3466675, Sayed Obaid
1,4936072,Sayed Khan Aqa Hashimi
1,3659192,Dagarwal Niazai Wal
1,14100788, Kako Jan Niazai
1,3664612, Faiz Muhammad Arghand
1,5765408, Rona Ayoubi
1,3664623,Ghulam Rabani Rabani
1,5765436,Master Zahra Shafiee Hasibi
1,3686364,Alhaj Faiz Muhammad Rawan
1,6666831,General Khuwajah Salah‐ud‐Din Seddiqi
1,3699134,Muhammad Jafar  Rahimi S/O Hajji Qambar Tabib
1,3797590, Sayed Qadem Sadat
1,3768441, Jawad Neyosh
1,4813902, Sayed Fazal Hashimi
1,4227804,Hajji Sayed Younus
1,6188777,Muhammad Ibrahim Zarif
1,4892130,Dr. Muhammad Yahya Weyar
6,4968179, Ali Akbar Qasimi
6,5087446, Muhammad Nasim Qasimi
11,5061107, Dr. Nazerullah Muhabat
11,272931,Muhibullah
1,5955600,Muhammad Bashir  Nasih A.N.A Eng. Sardar
1,5109113,General Aminullah Amarkhil
1,11336260, Ustad Dr. Ahmad Zia Amiri Safi
1,5570894,Ustad Salih  Muhammad A.K.A Hajji Qandahari
1,11202201,Yardil Nizami
1,5765329,Sofi Muhammad Sharif Mujahed
1,6004888,Muhammad Dawood
1,5765339, Ahmad Haidar Haidar
1,6217415,Eng. Muhammad  Dawood Ameri Wardak
1,5765365,Hajji Muhammad Daood Safi
1,5765383,Hajji Shireen Agha Rahmani
1,5765371,Saranwal Muhammad Shakir Baryal
1,5765375,Alhaj Samunwal  Muhammad Roshan Roshan
1,3772252,Nafisa Selay Wardak
1,6350934, Abdul Hameed Islampor
1,5765389,Muhammad Ibrahim Karimi
1,6219312,Alhaj Muhammad Sharif Nashat
1,5765391,Hamidullah Adib Faiz
1,11096571, Abdullah Shahkar
1,5765425, Dr. Raisa Seddiqi
1,5765413, Rana Nooristani
1,5765431,Anisa Azizi
1,8681345, Sayed Najeebullah Hashimi
1,5765435, Hamida Osman
30,5794702,Hajji Obaidullah Barikzai
30,579470200,Muhibullah Zahid
1,6492372,Ustad Nima Suratgar
1,6149939,Dr. Amin Alizai
1,10568153,Sabrullah Faiez
1,6350606, Eng. Farid Ahmad Mutaqi
1,12865581,Muhammad Asif Shefajo
1,6371308, Afifa Shams
1,7810007, Rabia Lami
1,6483661, Sadar
10,8913434,Nigar Shaliz
10,7571246, Fauzia Hotak
6,8948623,Ustad Nawroz Ali Karemi
6,8948632,Muhammad Sharif Nazari
21,13874583,Sayed Muhammad Hassan Sharifi Balkhabi
21,1468083,Sayed Ghulam Hussain Balkhabi